training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.819738,0.4860685,0.02558124,0.30898294,-24.077858,24.077858,0.80820304,-2.3690724,-24.065878,-26.915949,11.88928,-15.911482,135.61554,25.00739,0.4861002,0.027397513,0.29855835,-24.247314,24.247314,0.0075139515,-22.643787,-24.250912,-26.410572,0.017798414850234985,88.99208450317383,5000
42.31638,0.40963978,0.023150682,0.28522182,-41.675232,41.675232,0.05196832,-0.4172407,-41.681046,-43.629692,0.7603065,-1.1683737,15.135717,42.715,0.4598106,0.023967981,0.316303,-42.01551,42.01551,0.31768242,-26.882084,-42.05799,-43.7744,0.0026755255222320556,102.3697190284729,10000
55.48529,0.43736652,0.024634302,0.3055873,-54.801582,54.801582,0.25730368,-0.38231808,-54.894688,-56.59529,5.3709445,-6.043283,60.706047,55.50502,0.4561236,0.026998103,0.29729742,-54.778915,54.778915,0.26845416,-0.89077073,-54.836773,-56.463223,0.0026718783855438234,115.7291157245636,15000
65.52015,0.40980512,0.0150383115,0.25744155,-64.95996,64.95996,0.040548198,-6.157734,-65.0016,-66.48824,0.9963635,-0.6921291,14.976745,64.03796,0.45415002,0.018755674,0.29463065,-63.396248,63.396248,0.3913173,-0.8963413,-63.41648,-66.482445,0.0027818692684173584,129.6384687423706,20000
72.04454,0.39320904,0.016757607,0.29242998,-71.48376,71.48376,0.22377148,-0.2214748,-71.51534,-74.7405,0.6034539,-0.9939849,15.765792,71.08842,0.42103413,0.019303083,0.27229747,-70.47435,70.47435,0.61179394,0.49434367,-70.54825,-74.70642,0.002865889310836792,143.96792149543762,25000
77.87975,0.34621274,0.013974369,0.25515002,-77.3938,77.3938,0.122141995,-0.432647,-77.43628,-81.2114,2.2139742,-1.7480391,22.741533,77.64931,0.42891592,0.019560337,0.28882366,-77.02479,77.02479,0.23053679,-0.47326082,-77.14861,-81.158394,0.0029050090312957764,158.49297261238098,30000
84.03183,0.3942961,0.01459825,0.26556078,-83.491554,83.491554,0.17304848,-16.100939,-83.53067,-85.88681,0.52402705,-0.48893985,14.677739,81.18786,0.42911834,0.020165682,0.26456803,-80.55708,80.55708,0.50788707,-0.7451428,-80.645706,-85.82522,0.002942978572845459,173.20787000656128,35000
85.94863,0.3902378,0.016079426,0.2539411,-85.3976,85.3976,0.26157808,0.25048655,-85.44396,-89.291725,5.795175,-7.89869,56.81774,83.83513,0.39439803,0.018422425,0.23823708,-83.25651,83.25651,0.32153702,0.21593921,-83.36188,-89.29799,0.002944678258895874,187.9312665462494,40000
88.06234,0.37680757,0.0129624605,0.23159093,-87.55591,87.55591,0.14050356,-0.12497856,-87.631134,-92.09402,1.5115397,-0.838074,16.10881,86.91899,0.32022703,0.01683259,0.23160519,-86.430435,86.430435,0.32632527,-19.282146,-86.58357,-92.108696,0.0029435302257537843,202.64892315864563,45000
90.3802,0.37762764,0.015618384,0.1917322,-89.84639,89.84639,0.106470935,-0.31308728,-89.93634,-94.17018,0.8804206,-1.5062761,16.947193,89.61707,0.38136002,0.022344708,0.2111406,-89.01227,89.01227,0.4444093,-2.3731623,-89.1441,-94.25421,0.002940596866607666,217.35191416740417,50000
90.01444,0.37246317,0.017062426,0.20915312,-89.47135,89.47135,0.33493465,-4.549175,-89.59123,-96.54414,6.0174828,-3.2115867,46.75155,90.71541,0.39355904,0.01669693,0.20449874,-90.15488,90.15488,0.34988236,-13.178062,-90.27057,-95.74135,0.002946109485626221,232.0824682712555,55000
90.55538,0.32439828,0.016393661,0.20061004,-90.06705,90.06705,0.3012524,-0.72460496,-90.16556,-96.9496,3.373155,-4.4153605,34.01013,89.09597,0.33279946,0.020100355,0.2111848,-88.562164,88.562164,0.23536836,-0.3767862,-88.65837,-96.94527,0.0029613239765167235,246.8890950679779,60000
91.81619,0.38862872,0.017970324,0.22293177,-91.24786,91.24786,0.07669871,-31.39578,-91.362915,-98.02807,1.5560647,-0.86223483,17.98518,91.54326,0.4016459,0.022135496,0.21215123,-90.92026,90.92026,0.43592218,-0.004124373,-91.08372,-97.99486,0.002967429542541504,261.7262477874756,65000
90.08815,0.33058217,0.01603669,0.19448029,-89.5972,89.5972,0.16244593,-0.79197454,-89.7871,-98.60449,2.4372609,-1.6217434,22.892298,89.31978,0.34458107,0.01507014,0.21677135,-88.82449,88.82449,0.317839,-0.83175486,-88.993286,-98.70612,0.0029711071968078614,276.5817892551422,70000
92.50791,0.35676056,0.019148707,0.23628661,-91.95966,91.95966,0.17022017,-37.973927,-92.0571,-99.19776,2.8352642,-2.346909,26.098858,91.92041,0.40707102,0.018678308,0.21692328,-91.32655,91.32655,0.32069555,-30.56385,-91.44678,-98.99809,0.0029707275390625,291.43543314933777,75000
90.83427,0.37610018,0.015451431,0.23087531,-90.30365,90.30365,0.18648882,0.5710691,-90.44456,-99.92177,0.6715733,-2.38347,21.912663,91.41583,0.39515942,0.013140678,0.22797339,-90.88927,90.88927,0.17953485,-0.09613198,-91.031845,-99.25839,0.0029724625587463378,306.29775166511536,80000
91.37528,0.3178764,0.015362442,0.21884383,-90.90378,90.90378,0.09951094,-0.80116946,-91.0363,-99.75197,1.6596038,-2.4397814,20.341675,91.29346,0.42968768,0.019238055,0.21658316,-90.67139,90.67139,0.49390912,-8.227807,-90.774574,-99.78827,0.0029616586685180663,321.10605120658875,85000
90.68468,0.38164183,0.018169403,0.2338154,-90.12134,90.12134,0.46379262,-3.9874575,-90.24655,-102.07941,11.348535,-13.329191,70.35086,91.71936,0.38225284,0.01601082,0.2096495,-91.177,91.177,0.18068862,-0.6552793,-91.29557,-100.89758,0.0029530619621276856,335.87136721611023,90000
91.67992,0.3829615,0.016759157,0.23707321,-91.129364,91.129364,0.1468744,-2.1160493,-91.279785,-102.790306,3.8833532,-1.157048,23.042034,91.098724,0.41682592,0.021675944,0.24361637,-90.46514,90.46514,0.20058225,0.50326914,-90.65086,-100.772316,0.0029546294212341308,350.6445198059082,95000
89.83048,0.33241612,0.013957739,0.23988897,-89.35849,89.35849,0.1250629,0.1622542,-89.576164,-101.97974,3.2775478,-1.391089,24.48928,90.97691,0.39735448,0.016750813,0.22141644,-90.41205,90.41205,0.18888316,-1.0520992,-90.561966,-100.46416,0.002947737407684326,365.3832120895386,100000
89.97796,0.34224683,0.01849854,0.20946082,-89.45073,89.45073,0.18454453,-0.6100954,-89.57647,-101.92173,1.2575693,-0.54866505,17.256578,89.810875,0.41606167,0.019618988,0.23265503,-89.19862,89.19862,0.1525144,-1.8827152,-89.35882,-100.50734,0.014655865526199342,438.6625452041626,105000
91.5282,0.33444452,0.017188966,0.2338626,-91.021866,91.021866,0.12877254,-0.3509557,-91.147964,-100.749985,1.2687254,-1.7487383,18.877031,90.123474,0.3640251,0.01828456,0.24155632,-89.57661,89.57661,1.1358483,-0.62542415,-89.7733,-100.78189,0.0026785356998443605,452.0552294254303,110000
91.36888,0.35327202,0.014630318,0.24331135,-90.86931,90.86931,0.10222991,-42.67018,-91.00641,-104.36516,0.8053313,-0.43704736,13.26834,91.25304,0.37305534,0.017389297,0.23777927,-90.706085,90.706085,0.23054087,-1.2207524,-90.83235,-100.69478,0.002807481288909912,466.09264159202576,115000
89.901596,0.36494583,0.017067432,0.22580212,-89.365974,89.365974,0.57600904,-1.7534924,-89.54793,-100.990105,15.05549,-15.45683,84.64299,88.75774,0.34691888,0.017966926,0.22474575,-88.23115,88.23115,0.3714351,-2.03548,-88.35425,-100.769615,0.002892042112350464,480.552857875824,120000
90.72567,0.3254846,0.017128944,0.22942558,-90.2289,90.2289,0.13268502,-1.2517003,-90.37237,-100.69767,1.4667865,-1.9354283,20.23522,91.43943,0.36426473,0.017817974,0.22616293,-90.89699,90.89699,0.2922163,-0.27451357,-91.0749,-100.749596,0.002936888551712036,495.23730635643005,125000
93.01799,0.34234205,0.012845695,0.22035122,-92.54719,92.54719,0.087533474,-45.637142,-92.649216,-101.84441,0.38984677,-0.9658928,14.726703,90.99021,0.42223167,0.02036333,0.24296854,-90.36435,90.36435,0.50586915,-0.65283906,-90.49255,-100.77321,0.0029527194023132326,510.0009083747864,130000
