training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
28.997597,0.18684082,0.069915295,0.70734704,-28.111603,28.111603,0.51487345,-7.9487023,-29.014013,-34.469196,0.22465397,-0.20722985,11.986924,28.671995,0.2222377,0.076827586,0.6990308,-27.681482,27.681482,0.58856654,-1.4932249,-28.582804,-34.02662,0.02039406542778015,101.9703369140625,5000
45.67031,0.14608167,0.08197093,0.58492875,-44.70452,44.70452,0.8221532,0.45205933,-45.72577,-55.10439,0.39702296,-0.21656078,18.528181,46.582424,0.20537667,0.082805336,0.600011,-45.548996,45.548996,0.8153471,-8.2144785,-46.486816,-55.159573,0.0026041082382202148,114.99088311195374,10000
49.399307,0.18554309,0.1114859,0.6240838,-48.098904,48.098904,1.3430332,-6.5487566,-49.699413,-67.66811,0.33573925,-0.45592278,30.66765,50.205914,0.19558041,0.0994277,0.6017677,-49.016056,49.016056,1.2478901,-13.6504965,-50.664017,-67.05981,0.002572130727767944,127.85154175758362,15000
46.223686,0.18555862,0.0873127,0.5759163,-45.165,45.165,2.1026878,-2.7680051,-46.917458,-70.00567,0.5400875,-0.76401246,35.87027,49.273075,0.20659256,0.08423102,0.5686776,-48.22417,48.22417,2.6545997,-9.468919,-49.793602,-71.01207,0.002587980604171753,140.79144954681396,20000
37.313423,0.22251359,0.15348947,0.69359326,-35.556015,35.556015,2.9406862,-1.5980383,-37.640392,-59.36226,0.8018254,-1.0518398,52.439465,38.22577,0.15567072,0.119301856,0.6548261,-36.87708,36.87708,1.9097493,-10.694647,-38.814934,-62.1324,0.002599196672439575,153.787437915802,25000
31.280182,0.17084035,0.12549877,0.6866626,-29.854353,29.854353,1.4576046,-0.61418116,-31.858385,-58.776318,1.0492957,-0.7565916,41.607304,33.15226,0.18551154,0.106785595,0.6629788,-31.898891,31.898891,1.729894,-2.57455,-33.856773,-58.118145,0.0026084700107574465,166.82979345321655,30000
26.757923,0.19554608,0.08963674,0.6954036,-25.66601,25.66601,0.636564,-8.728536,-27.2622,-50.294044,0.19743073,-0.5395706,16.94262,27.462093,0.1820507,0.092719555,0.71226424,-26.352846,26.352846,0.7353797,-8.763244,-27.855225,-48.39115,0.002617209577560425,179.91584610939026,35000
37.46058,0.1714502,0.11198449,0.67144316,-36.169285,36.169285,0.9058702,-9.569843,-37.35116,-53.202244,0.7971043,-0.8213576,37.008266,37.67202,0.21911922,0.090111494,0.6373099,-36.551785,36.551785,0.6585062,-5.3662834,-37.724754,-53.851727,0.002627711391448975,193.05440831184387,40000
45.907047,0.18140808,0.12082505,0.6233882,-44.517387,44.517387,2.9874215,-5.2119985,-46.33345,-69.4825,2.3722982,-2.2853181,97.67421,46.012985,0.16736744,0.10733396,0.6288094,-44.772278,44.772278,2.3525655,-8.791065,-46.244728,-69.03437,0.0026300342082977296,206.20458364486694,45000
47.106014,0.1611285,0.12550747,0.55354327,-45.68981,45.68981,1.7792063,-4.2209516,-47.267586,-66.72809,0.44582522,-1.1787403,36.239567,48.11024,0.18253016,0.1517235,0.58167404,-46.410477,46.410477,1.7423447,-2.1769047,-47.913887,-65.106476,0.0026372029304504393,219.39060378074646,50000
46.50517,0.18272488,0.14466119,0.51551974,-44.87583,44.87583,2.4250555,-0.7607336,-46.175392,-73.88534,1.3496284,-1.2588277,71.48191,49.031063,0.17451768,0.13122147,0.53790045,-47.54433,47.54433,2.0834303,-9.647959,-48.847942,-72.86741,0.002641816520690918,232.5996916294098,55000
45.110302,0.18658195,0.09055233,0.61254674,-44.018196,44.018196,1.2515192,-17.695467,-45.162086,-65.87962,1.105336,-0.5780168,26.969425,45.52018,0.19677153,0.108569264,0.6159947,-44.237717,44.237717,1.1143553,-8.210364,-45.294758,-66.70418,0.0026566269397735594,245.8828318119049,60000
49.34745,0.229869,0.09649992,0.6017732,-48.15258,48.15258,1.894145,-13.68495,-49.334183,-64.02343,2.199465,-0.5980684,34.479095,50.672146,0.17114712,0.100607276,0.62903494,-49.494926,49.494926,0.9845309,4.448916,-50.973137,-64.46276,0.00266533260345459,259.20949959754944,65000
