training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
25.953468,0.44779938,0.10496575,0.18187147,-24.45601,24.45601,0.7331993,-2.0771039,-24.469044,-25.971508,4.414187,-5.426559,75.68405,26.057251,0.47249815,0.10521178,0.193984,-24.532635,24.532635,0.54472053,-2.2589717,-24.52876,-26.705832,0.017151855850219725,85.75928950309753,5000
43.60891,0.36699498,0.106461324,0.15268877,-42.1773,42.1773,0.28239346,-1.3985847,-42.187214,-44.340538,2.571136,-2.2885046,38.262043,43.356922,0.44543338,0.10470448,0.18324214,-41.864445,41.864445,0.51637137,-0.9074291,-41.903465,-44.23878,0.002617750787734985,98.84804940223694,10000
56.84597,0.43469205,0.09137355,0.18259048,-55.497543,55.497543,1.0952952,-2.3686984,-55.533234,-58.076317,14.290821,-16.256216,130.55957,57.188343,0.44773525,0.08974895,0.15333644,-55.843117,55.843117,0.31885672,-19.029102,-55.855568,-58.136703,0.0026316348075866697,112.00622868537903,15000
66.72381,0.42699558,0.08552359,0.1504589,-65.441574,65.441574,1.7433857,-1.0242351,-65.46095,-68.169556,21.144062,-30.91045,198.90254,67.371735,0.434199,0.08482882,0.15827608,-66.08925,66.08925,1.9847126,-14.512395,-66.12634,-68.284546,0.002737930154800415,125.69588541984558,20000
75.40032,0.38695467,0.07751095,0.11686522,-74.23826,74.23826,0.18124321,-0.74601203,-74.30352,-76.28163,2.6397974,-2.427256,35.81012,75.533195,0.3987766,0.08182098,0.14506505,-74.31621,74.31621,2.480327,-0.47609743,-74.34157,-76.279976,0.002820638704299927,139.7990849018097,25000
81.414024,0.34623078,0.078422904,0.12557861,-80.28356,80.28356,0.28590682,-3.3434527,-80.31117,-82.5153,3.5498857,-4.393474,42.307922,80.93413,0.40499306,0.078858204,0.13150153,-79.740555,79.740555,0.33620578,-1.1981785,-79.71185,-82.51291,0.002869296646118164,154.14557337760925,30000
84.617584,0.44801772,0.0758439,0.121930026,-83.411125,83.411125,0.12835813,-0.27740473,-83.4093,-86.914375,3.6523552,-3.8432088,36.138126,84.970634,0.41356552,0.07527496,0.12505493,-83.80432,83.80432,0.14340556,0.71330607,-83.82558,-86.919044,0.002895799541473389,168.6245768070221,35000
89.354546,0.38928407,0.08234649,0.12461683,-88.1418,88.1418,0.7321339,-0.68156034,-88.14807,-90.34981,9.432445,-7.969506,65.6598,89.252106,0.43415564,0.08097683,0.1434564,-88.00818,88.00818,0.2806916,-0.27276587,-88.00459,-90.383286,0.0029155412673950195,183.20228958129883,40000
91.83184,0.35671407,0.07573876,0.12288055,-90.717735,90.717735,0.30111688,-10.733154,-90.75393,-92.99747,3.289386,-2.8619754,37.44534,90.634224,0.43081748,0.08067634,0.13374436,-89.396645,89.396645,0.95773935,1.1388737,-89.44875,-92.95878,0.00292691445350647,197.83686685562134,45000
93.32982,0.36039275,0.08049983,0.117314905,-92.16443,92.16443,0.24755998,-2.2082207,-92.204445,-95.13467,4.6241574,-1.0784452,37.907074,92.159355,0.3852213,0.087957084,0.13122216,-90.89456,90.89456,0.6323248,-0.20411846,-90.999664,-95.09758,0.002936710262298584,212.52042365074158,50000
95.96213,0.35105008,0.08195307,0.12471798,-94.79155,94.79155,1.6023519,-11.429789,-94.8112,-96.95317,18.676102,-22.227308,184.14482,94.72507,0.36027738,0.078392446,0.11597725,-93.580864,93.580864,0.1536245,-0.53316694,-93.58036,-96.8266,0.0029488709926605225,227.2647843360901,55000
96.280624,0.35876518,0.07077032,0.11792721,-95.21416,95.21416,0.3998963,-1.0988479,-95.24126,-98.95338,5.1228585,-8.751672,64.01747,94.98094,0.41768372,0.074404284,0.12754849,-93.819214,93.819214,0.19863954,-0.39453346,-93.83189,-98.39476,0.0029528756618499756,242.02916955947876,60000
96.52109,0.3942626,0.074171156,0.112701066,-95.38512,95.38512,0.8766962,-3.685898,-95.476746,-99.58654,38.91323,-36.90375,204.1341,96.252594,0.3858623,0.08321996,0.12172783,-95.03453,95.03453,0.4282487,-0.68407947,-95.027054,-99.453094,0.002954182147979736,256.80008602142334,65000
97.76033,0.3742525,0.07448849,0.11367671,-96.64119,96.64119,0.10269904,-2.0156114,-96.64788,-102.48622,1.1414113,-1.3015339,25.502842,97.0923,0.36684296,0.07725616,0.119947016,-95.952896,95.952896,0.54439044,-0.46770757,-96.02297,-100.31785,0.0029590214252471925,271.59519958496094,70000
98.54983,0.3536749,0.07196297,0.10447398,-97.476524,97.476524,0.16058823,-1.1290956,-97.473434,-103.802956,0.88133335,-1.0082307,22.99193,98.13126,0.36558455,0.0809793,0.1251561,-96.95589,96.95589,0.55945945,-1.5583065,-97.022964,-101.25136,0.002959210205078125,286.3912560939789,75000
99.10857,0.33015072,0.07036486,0.10307859,-98.07477,98.07477,0.8992468,-0.47709286,-98.06884,-102.627686,2.943583,-3.0571609,44.569374,98.859505,0.38707352,0.07634282,0.12088359,-97.709,97.709,0.24113,0.0919548,-97.745674,-101.79823,0.0029540781021118166,301.161652803421,80000
98.48817,0.37028638,0.07768914,0.1271488,-97.34099,97.34099,0.39578342,-17.611723,-97.42213,-102.5173,4.703119,-2.779836,39.638035,98.60575,0.3309405,0.073197395,0.12130862,-97.54284,97.54284,0.24565873,-1.4500574,-97.59021,-103.271675,0.002948213958740234,315.90272855758667,85000
100.71105,0.29279718,0.07294023,0.11622223,-99.68885,99.68885,0.29275444,-54.629684,-99.746826,-102.82308,1.6294084,-1.5170972,28.997398,99.614876,0.38787764,0.07826428,0.12375126,-98.44436,98.44436,0.7264488,-0.45754927,-98.48592,-103.68714,0.0029458170890808108,330.63181948661804,90000
99.74545,0.36940062,0.07689996,0.12420782,-98.607056,98.607056,0.41996232,-1.3068721,-98.643005,-103.2165,2.9155223,-2.0026822,36.89862,98.51749,0.40978584,0.083599076,0.12816995,-97.27171,97.27171,0.9603843,0.32317057,-97.34361,-103.270805,0.0029403071880340576,345.33336091041565,95000
99.267914,0.36812,0.07976027,0.11275598,-98.10219,98.10219,0.32393393,-2.3096027,-98.18385,-103.829445,2.4305322,-1.4026017,33.59339,96.01991,0.33370432,0.084221065,0.11326503,-94.843994,94.843994,0.75661415,-0.23635048,-94.98311,-103.290245,0.0029381259441375734,360.02399611473083,100000
99.485405,0.3617322,0.078832105,0.11514772,-98.33535,98.33535,0.21548624,-27.110672,-98.44579,-105.18229,1.410804,-2.5109272,28.23803,97.860565,0.33684337,0.083054334,0.12907028,-96.69318,96.69318,0.51129436,-0.025779843,-96.83382,-105.73519,0.013685684013366698,428.4524211883545,105000
99.389175,0.37328583,0.07620582,0.11502147,-98.25383,98.25383,0.21599126,-0.43481565,-98.31033,-105.33253,1.2902949,-2.7342348,32.831436,98.128334,0.35441494,0.079678,0.1163597,-96.97714,96.97714,0.7694122,0.07907052,-97.07476,-107.1644,0.0026507076263427736,441.7059648036957,110000
99.04603,0.3559394,0.078626454,0.11238326,-97.903824,97.903824,0.9031057,-1.8194611,-98.01404,-108.57207,6.8636675,-12.478655,92.10813,99.09313,0.3770758,0.07600314,0.12122998,-97.956024,97.956024,0.5179192,-8.1688385,-97.980835,-104.47605,0.0027947041988372803,455.6794910430908,115000
98.90358,0.3431526,0.07477608,0.11326267,-97.81267,97.81267,0.8695015,0.0122181475,-97.8662,-106.27561,8.47419,-4.371784,67.69246,97.94878,0.35767463,0.076799504,0.11278648,-96.823105,96.823105,0.87895167,0.33244967,-96.9753,-106.199974,0.0028792840480804443,470.0759165287018,120000
99.05656,0.3770444,0.078752585,0.109919004,-97.89198,97.89198,0.28051433,0.75153637,-97.96264,-112.29095,1.1209627,-1.0619445,24.80258,98.086006,0.38265467,0.08886144,0.11851019,-96.814735,96.814735,0.47620732,1.2125982,-96.78041,-107.800156,0.0029194083213806153,484.67296409606934,125000
