training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
48.361637,0.18684082,0.035726205,0.031289827,-47.817535,47.817535,0.28298476,-28.676321,-47.822624,-50.52344,1.130976,-0.58430576,25.7601,48.54964,0.2222377,0.03603668,0.035473984,-47.967037,47.967037,0.3991348,-1.279373,-47.960167,-50.6131,0.019982048368453978,99.91025185585022,5000
81.465096,0.14608167,0.036802884,0.03004141,-80.95099,80.95099,1.0248046,1.6671705,-80.92155,-85.84289,2.0370836,-2.0737138,84.42413,82.05472,0.20537667,0.037569042,0.03570711,-81.47365,81.47365,0.91666013,-44.739613,-81.48097,-85.44418,0.0025994325160980224,112.90742039680481,10000
108.162674,0.18554309,0.031950593,0.03317647,-107.65762,107.65762,1.1884205,-0.6344739,-107.73007,-114.510315,1.7560357,-1.1180078,62.946835,108.637505,0.19558041,0.03096583,0.022475554,-108.13226,108.13226,2.8166697,-59.54654,-108.129745,-113.96922,0.0025768335342407226,125.79159307479858,15000
104.001114,0.18555862,0.10055596,0.06829398,-102.81,102.81,1.5928891,-23.343212,-103.915535,-132.57234,1.8265021,-1.7511002,97.56709,106.33265,0.20659256,0.10885622,0.06899156,-105.03749,105.03749,1.7593715,-24.551018,-106.04411,-132.25531,0.002591578245162964,138.7494888305664,20000
97.42238,0.22251359,0.18164359,0.12799247,-95.38343,95.38343,3.4205742,-17.085485,-97.51962,-139.4711,2.859323,-2.915082,171.94194,99.82999,0.15567072,0.17659421,0.12308679,-97.90837,97.90837,3.3655965,-25.757988,-100.12367,-138.36353,0.0025974257946014406,151.7366237640381,25000
80.41998,0.17084035,0.12649849,0.08481445,-78.98416,78.98416,2.0432463,-21.626787,-80.16586,-129.07854,3.4881268,-3.87925,132.05936,80.444275,0.18551154,0.12468364,0.085421704,-79.011925,79.011925,3.075505,-27.95381,-80.09981,-130.25755,0.002613205909729004,164.80265927314758,30000
82.28527,0.19554608,0.101463675,0.072863854,-81.07509,81.07509,1.5481384,-36.10919,-82.032555,-119.215164,1.1812984,-1.242229,76.85597,81.924286,0.1820507,0.113201156,0.089274235,-80.61022,80.61022,1.4791205,-6.955526,-81.74352,-117.57394,0.0026190722942352296,177.89802622795105,35000
79.165596,0.1714502,0.12953793,0.09501933,-77.69877,77.69877,1.6919523,-19.408176,-79.11442,-121.48731,2.942932,-2.5023522,118.86653,81.26658,0.21911922,0.12907767,0.09460443,-79.75668,79.75668,2.0847585,-25.32487,-81.101585,-116.210434,0.002626804685592651,191.03205466270447,40000
80.82751,0.18140808,0.114808336,0.077624895,-79.49802,79.49802,1.6291742,-25.181673,-80.634766,-118.287415,1.1924545,-3.1302328,111.05843,81.00014,0.16736744,0.10948082,0.077001534,-79.73796,79.73796,1.7388246,-14.885325,-80.71233,-114.33583,0.002636617374420166,204.21514654159546,45000
76.43143,0.1611285,0.118798666,0.094601266,-75.08231,75.08231,1.6208111,-12.952218,-76.33264,-119.99013,1.4231313,-1.3749285,70.855545,76.12187,0.18253016,0.11474754,0.09362777,-74.79187,74.79187,2.619502,-18.406364,-75.89615,-115.02004,0.002642245531082153,217.4263789653778,50000
77.086555,0.18272488,0.09797424,0.0746574,-75.92409,75.92409,1.506408,2.7092066,-76.86663,-112.68423,2.4417253,-1.8890053,92.971825,78.452095,0.17451768,0.099175,0.06454626,-77.28583,77.28583,1.270828,-26.20032,-78.20416,-110.113304,0.002642341184616089,230.63808965682983,55000
72.82627,0.18658195,0.13908741,0.10921662,-71.24882,71.24882,2.1441503,-15.222474,-72.860596,-108.42332,2.0131323,-1.997139,103.88255,74.19632,0.19677153,0.1344974,0.10111616,-72.65457,72.65457,2.7259984,-4.845869,-74.193985,-113.18015,0.0026546197414398193,243.91119408607483,60000
73.09815,0.229869,0.12395302,0.098606214,-71.62875,71.62875,2.2428098,-12.842973,-72.996666,-111.958496,5.279273,-2.392992,149.07687,76.380356,0.17114712,0.12236782,0.10140572,-74.98553,74.98553,1.6090733,-3.3490381,-76.35003,-114.26851,0.0026578352928161623,257.2003757953644,65000
78.32301,0.19608806,0.111580096,0.08153888,-77.01112,77.01112,1.8511447,-9.801306,-78.18477,-120.32502,2.7837486,-2.710264,99.427605,74.75121,0.17045455,0.11184176,0.08284991,-73.46234,73.46234,2.1012368,0.27629936,-74.6641,-123.34014,0.00266093487739563,270.5050549507141,70000
76.81074,0.20112248,0.093576424,0.08561678,-75.67385,75.67385,1.5094275,-28.193659,-76.52571,-123.24901,1.1949489,-1.4667894,71.464905,76.02012,0.18920492,0.09008428,0.07094673,-74.93007,74.93007,1.5166597,-26.646633,-75.76848,-116.04205,0.0026724488258361816,283.8673040866852,75000
77.29351,0.19414447,0.15625684,0.1369787,-75.5368,75.5368,2.4304311,-11.640439,-77.3882,-131.35785,4.3661757,-2.7171502,121.59358,76.160065,0.19056141,0.16297781,0.13671635,-74.33972,74.33972,2.499524,-7.142591,-76.18283,-114.24533,0.002697441816329956,297.3545181751251,80000
71.50455,0.17333606,0.10540795,0.08272167,-70.27713,70.27713,1.1866152,-9.126662,-71.24653,-118.43196,1.4547334,-1.4156661,73.287384,69.99444,0.16888666,0.110196136,0.08690852,-68.72359,68.72359,1.8606143,-23.927492,-69.78158,-108.27313,0.0027039343357086183,310.87419533729553,85000
74.88605,0.14692993,0.144145,0.111247994,-73.29767,73.29767,2.0762799,-19.618221,-74.880264,-107.57044,3.38549,-6.5770836,139.65176,73.62316,0.16287088,0.13377915,0.11004412,-72.1225,72.1225,2.2912598,-21.246552,-73.712616,-115.26274,0.002710886526107788,324.4286332130432,90000
69.944756,0.21631296,0.115068726,0.10605317,-68.57776,68.57776,2.0810416,-8.979369,-69.85995,-107.40773,2.1351066,-2.172387,120.65023,73.07093,0.1791122,0.11931944,0.10648034,-71.69862,71.69862,2.2854354,-18.66517,-73.08081,-111.87345,0.002717471218109131,338.01599526405334,95000
75.62238,0.15939997,0.120247416,0.0984793,-74.260506,74.260506,1.5999568,-23.707533,-75.57857,-126.11684,2.6280696,-4.203326,128.12804,74.270615,0.18522547,0.11428662,0.09222005,-72.94252,72.94252,1.774194,-18.49374,-74.01796,-118.800674,0.0027259393215179444,351.6456971168518,100000
73.96186,0.20471564,0.11154652,0.094162285,-72.64168,72.64168,1.7852348,-3.573368,-73.83635,-114.00535,2.1217954,-1.6219499,78.22319,76.081474,0.15331218,0.1129027,0.08745892,-74.79913,74.79913,2.066791,-3.415983,-75.92572,-108.97627,0.01636337056159973,433.46255564689636,105000
76.3232,0.15995416,0.115667336,0.08914036,-75.00657,75.00657,1.44935,-26.928024,-76.271225,-118.835205,1.8720746,-1.5224617,73.06554,76.313995,0.13334827,0.124497436,0.094767496,-74.93568,74.93568,1.7174003,-25.288586,-76.21749,-119.52717,0.0026145820140838624,446.53547048568726,110000
76.75684,0.19803463,0.10913034,0.09061486,-75.46751,75.46751,1.677623,-14.292677,-76.65173,-133.66377,3.7023795,-2.9765823,91.59341,76.73942,0.20391265,0.096732944,0.0780945,-75.56818,75.56818,2.2962003,-7.01986,-76.55915,-122.7994,0.0026302785396575927,459.6868679523468,115000
74.9418,0.15869708,0.097804956,0.07563599,-73.80505,73.80505,1.6239853,-23.964573,-74.79948,-123.70081,3.4076986,-1.9119381,89.19907,73.42048,0.15011656,0.10000439,0.07515863,-72.27032,72.27032,1.7508245,-13.548985,-73.18124,-115.00004,0.002638296699523926,472.87835693359375,120000
76.40974,0.18732224,0.108991005,0.08565547,-75.13251,75.13251,1.7889228,-2.3047233,-76.253845,-119.160225,2.3440356,-3.964191,128.3616,75.991425,0.1828386,0.11217252,0.08919003,-74.68686,74.68686,2.3911886,-1.0008957,-75.780396,-109.54891,0.002654906511306763,486.1528944969177,125000
