training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.772438,0.4860685,0.021343358,0.17280592,-24.072935,24.072935,0.15763035,-1.1506386,-24.094934,-27.630182,2.9766946,-3.3851814,35.158394,25.02278,0.4861002,0.021461904,0.16199417,-24.32206,24.32206,0.009809224,-22.00831,-24.322903,-27.255606,0.01642878541946411,82.14393711090088,5000
42.34778,0.40963978,0.016947063,0.1421039,-41.76867,41.76867,0.06943333,-0.64427435,-41.772583,-44.88184,0.69047874,-0.5744956,13.513419,42.72492,0.4598106,0.017385844,0.16694611,-42.091248,42.091248,0.218165,-27.776978,-42.159943,-44.794575,0.002304817342758179,93.66802954673767,10000
55.215168,0.43736652,0.021891136,0.14222413,-54.55889,54.55889,4.9017262,-0.449893,-54.75662,-57.886436,8.541167,-17.63115,120.61082,55.122623,0.4561236,0.021650815,0.13966808,-54.449993,54.449993,0.37870008,-0.9607457,-54.653107,-57.74199,0.0022403931617736815,104.87000012397766,15000
65.35692,0.40980512,0.013435168,0.11649539,-64.81276,64.81276,0.26050842,-5.282077,-64.84375,-67.96221,3.2866359,-2.559802,33.08915,63.45793,0.45415002,0.01654801,0.12708713,-62.838303,62.838303,0.6260199,-0.92633235,-62.919327,-67.823074,0.0023163846969604493,116.45192813873291,20000
71.96318,0.39320904,0.016007846,0.13207678,-71.40989,71.40989,0.61812925,-0.111332834,-71.47879,-75.173584,10.78673,-11.744107,87.670074,70.34718,0.42103413,0.01864361,0.117763795,-69.739716,69.739716,1.4003096,0.029568076,-69.82857,-75.230415,0.002390482139587402,128.4043447971344,25000
77.6923,0.34621274,0.014659442,0.11213945,-77.19949,77.19949,0.14999923,-0.3265001,-77.258026,-81.75179,0.7660381,-0.86771774,13.8855295,77.78985,0.42891592,0.017712377,0.1383791,-77.18381,77.18381,0.31063583,-0.8491999,-77.25996,-81.36555,0.002433611249923706,140.5724060535431,30000
83.666176,0.3942961,0.014324585,0.11780863,-83.12863,83.12863,0.34348893,-14.396611,-83.16673,-86.548706,1.1345866,-1.4482038,22.91097,80.75056,0.42911834,0.015720027,0.12041238,-80.16424,80.16424,0.9760266,-0.56620336,-80.277214,-86.47158,0.0024680559635162354,152.9126946926117,35000
85.65296,0.3902378,0.018069336,0.122298025,-85.08203,85.08203,0.17242347,-0.3337437,-85.19621,-89.98396,1.5514076,-2.5773382,26.397844,82.78041,0.39439803,0.021034058,0.12230957,-82.175674,82.175674,0.55146724,-0.3756541,-82.36893,-90.34743,0.0024827335357666016,165.32636737823486,40000
86.96007,0.37680757,0.012849234,0.10868855,-86.454765,86.454765,0.19130029,-0.14465524,-86.55227,-93.09119,2.2714996,-1.2640642,18.495216,85.85563,0.32022703,0.017083887,0.10355762,-85.36456,85.36456,0.2580477,-18.178629,-85.4872,-92.649124,0.0024947633743286133,177.80018949508667,45000
89.372734,0.37762764,0.013352175,0.101895764,-88.86159,88.86159,0.18601418,-0.09666835,-88.93918,-95.99763,1.7216566,-1.2501963,18.137943,88.63396,0.38136002,0.019304244,0.1218307,-88.059555,88.059555,0.28740084,-1.6882368,-88.19052,-94.826485,0.002505844020843506,190.3294141292572,50000
88.97793,0.37246317,0.0191741,0.11747387,-88.41373,88.41373,0.1874986,-5.162706,-88.57805,-97.95932,1.0861864,-1.1386299,20.504435,89.273285,0.39355904,0.02082209,0.11339684,-88.67151,88.67151,0.3352175,-15.672944,-88.80072,-96.53542,0.002515431594848633,202.90657758712769,55000
88.80468,0.32439828,0.020377815,0.103611216,-88.276505,88.276505,0.47504586,-1.2072113,-88.443344,-99.510155,3.4005296,-11.48901,60.65605,87.656944,0.33279946,0.020638883,0.11699626,-87.11776,87.11776,0.46871614,-0.5691571,-87.27587,-98.01029,0.002515958786010742,215.48637747764587,60000
90.677986,0.38862872,0.021566663,0.12257045,-90.07369,90.07369,0.25230163,-30.853191,-90.21502,-101.27538,1.9942923,-0.791562,19.73589,90.03966,0.4016459,0.021378472,0.12660797,-89.424225,89.424225,0.42662954,-0.20297351,-89.57527,-100.55901,0.002520290184020996,228.08783292770386,65000
88.84983,0.33058217,0.018968899,0.09995909,-88.32956,88.32956,0.2245067,-0.16916242,-88.46982,-102.74342,3.1772156,-1.9663811,26.0786,87.88061,0.34458107,0.015181009,0.1046558,-87.38422,87.38422,0.46143618,-0.7178534,-87.52835,-99.728836,0.002523983335494995,240.70775508880615,70000
91.8188,0.35676056,0.019202638,0.12508996,-91.27001,91.27001,0.14474422,-30.103056,-91.4077,-103.75454,1.8563248,-0.38500452,20.666502,90.82196,0.40707102,0.021130074,0.101671815,-90.20359,90.20359,0.2932181,-28.688307,-90.32251,-100.33036,0.002528662967681885,253.35107493400574,75000
89.954475,0.37610018,0.015467551,0.10805857,-89.4237,89.4237,0.19245112,-0.17344752,-89.5458,-104.95609,3.4486697,-0.9470794,25.47985,90.70639,0.39515942,0.018020296,0.114862464,-90.13103,90.13103,0.21627039,-0.05721782,-90.2639,-100.664154,0.0025313868522644045,266.00801372528076,80000
90.54196,0.3178764,0.020763723,0.103654265,-90.01645,90.01645,0.27621886,-0.69899786,-90.19971,-102.98343,1.5866086,-4.895709,29.212238,90.62512,0.42968768,0.021168247,0.11318368,-89.98375,89.98375,0.27676934,-11.264634,-90.11853,-100.89059,0.0025315813064575197,278.66592502593994,85000
90.50732,0.38164183,0.017856479,0.11559129,-89.94711,89.94711,0.48255283,-1.550588,-90.08789,-106.22099,2.8486617,-6.039644,46.58324,91.26214,0.38225284,0.016555559,0.0998054,-90.71433,90.71433,0.25500196,-0.15884827,-90.80705,-104.22896,0.002529256248474121,291.31221175193787,90000
