training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
25.067648,0.44779938,0.019651586,0.18167123,-24.423332,24.423332,0.18128347,0.09083373,-24.422817,-26.490871,2.0695102,-1.9550586,27.633516,25.164516,0.47249815,0.019449081,0.19348186,-24.497528,24.497528,1.2573227,0.6941703,-24.496471,-26.791464,0.016627548980712892,83.13775539398193,5000
43.23853,0.36699498,0.020951,0.15335032,-42.662025,42.662025,0.26428828,-1.8020874,-42.678864,-45.16669,4.1135073,-6.3684535,53.178116,43.354954,0.44543338,0.01935412,0.18452601,-42.71598,42.71598,0.031820595,-0.28541306,-42.71815,-45.145767,0.0025619008541107177,95.94726538658142,10000
57.006325,0.43469205,0.014462173,0.18142462,-56.42701,56.42701,0.059281908,-1.4766992,-56.425068,-60.565304,0.6963001,-0.669068,13.587039,57.565357,0.44773525,0.013596151,0.15304065,-56.98166,56.98166,0.029489193,-54.57796,-56.987373,-60.359222,0.0025404324531555175,108.64943265914917,15000
67.777824,0.42699558,0.01533604,0.14930227,-67.19747,67.19747,0.9403214,-0.66871476,-67.23974,-71.39801,6.784218,-8.084841,75.97731,66.27986,0.434199,0.018002683,0.16080895,-65.665634,65.665634,0.522971,0.05587899,-65.790115,-71.4481,0.0025501734256744386,121.40030479431152,20000
74.767426,0.38695467,0.012670247,0.11798196,-74.25377,74.25377,1.0848833,-26.548033,-74.305084,-79.409805,7.0830636,-10.8760805,87.98948,73.67685,0.3987766,0.014120467,0.14481565,-73.13687,73.13687,0.757766,-0.3102246,-73.16464,-78.438255,0.002566585731506348,134.2332398891449,25000
79.46157,0.34623078,0.014821425,0.13311933,-78.967125,78.967125,0.14726989,-1.4675566,-79.04942,-83.71652,1.061603,-1.1212337,17.281178,79.74608,0.40499306,0.01779971,0.13949016,-79.163086,79.163086,0.10802509,-0.25119153,-79.2197,-83.54437,0.002573220157623291,147.0993468761444,30000
83.63963,0.44801772,0.01684365,0.12561749,-83.02318,83.02318,0.12766905,0.022526339,-83.093475,-88.17164,0.5733842,-0.540903,13.547848,84.889,0.41356552,0.017026111,0.12848637,-84.305176,84.305176,0.43922347,-27.096607,-84.374954,-88.14754,0.002586568784713745,160.0321958065033,35000
85.607704,0.38928407,0.017828047,0.12824568,-85.04014,85.04014,1.0458757,-0.6507632,-85.15864,-91.45983,8.788697,-9.761733,84.21807,86.55367,0.43415564,0.0142374,0.14520189,-85.97714,85.97714,0.2236668,-0.2386303,-86.06131,-91.422905,0.0025894831657409666,172.97961688041687,40000
88.774445,0.35671407,0.01569315,0.12430963,-88.260796,88.260796,0.20064172,-36.005295,-88.36435,-94.33421,1.1326414,-0.864425,22.933002,91.32671,0.43081748,0.013242588,0.13231796,-90.76347,90.76347,0.11657739,-35.7801,-90.80137,-94.19735,0.002595066785812378,185.95495557785034,45000
88.0194,0.36039275,0.015441952,0.11886597,-87.50459,87.50459,0.44143426,-0.62771666,-87.62422,-96.178444,1.8192703,-2.033162,30.733318,90.42768,0.3852213,0.017755471,0.13536091,-89.86491,89.86491,0.37745804,-1.5237687,-89.92465,-96.118576,0.0025994068145751953,198.95199537277222,50000
