training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
26.00041,0.51849914,0.022733722,0.1932309,-25.254574,25.254574,0.2640772,-14.889406,-25.25129,-26.374315,5.73849,-3.8903105,58.084072,26.03311,0.54122996,0.023014568,0.19626819,-25.261734,25.261734,0.04504781,-0.8091962,-25.26047,-26.27056,0.016792405223846434,83.9620361328125,5000
43.055225,0.44979823,0.017931007,0.15329932,-42.426117,42.426117,0.18552655,-0.8888878,-42.445496,-44.24815,6.914022,-7.374763,65.056915,43.16547,0.4980396,0.017630327,0.1730932,-42.491127,42.491127,0.5295741,-0.9617625,-42.490097,-44.004807,0.0026273842334747313,97.09896445274353,10000
56.708694,0.40866196,0.01350411,0.14124358,-56.164993,56.164993,0.48153052,-32.820362,-56.185524,-57.430805,6.6347203,-7.57786,69.21323,54.939434,0.45661682,0.0173253,0.13473314,-54.309563,54.309563,0.33818865,-1.029255,-54.33739,-57.425056,0.002559929943084717,109.89862012863159,15000
65.61831,0.41884518,0.013171669,0.12826094,-65.06775,65.06775,0.084098324,-0.49495038,-65.09749,-67.321,1.2345097,-1.9473546,16.300667,65.72029,0.3827967,0.013985014,0.15132153,-65.19765,65.19765,0.12714903,-0.053511806,-65.24637,-67.29282,0.002568652391433716,122.74188709259033,20000
73.40517,0.4057517,0.016018001,0.1328749,-72.83923,72.83923,0.99921346,-0.581756,-72.89526,-75.77995,14.647244,-7.861511,109.415726,73.218834,0.4478645,0.014789356,0.15550211,-72.62308,72.62308,1.539026,-0.5791732,-72.68241,-75.71455,0.0025802473068237304,135.64312958717346,25000
78.54227,0.38189912,0.014577948,0.13598385,-78.01459,78.01459,0.77299446,-0.84438527,-78.06026,-82.287025,8.462826,-3.7729766,59.19427,77.77754,0.40954715,0.01587867,0.15282702,-77.209206,77.209206,0.31897646,-1.1039422,-77.28598,-82.23926,0.0025885858535766603,148.58606481552124,30000
84.052574,0.36339802,0.017589195,0.123563826,-83.51328,83.51328,0.14953554,-1.3542001,-83.55693,-87.08519,0.7451129,-1.3346455,20.813568,82.756065,0.44012535,0.018835824,0.12719148,-82.12758,82.12758,0.21194962,-0.5695294,-82.26576,-87.35064,0.002600639295578003,161.58926701545715,35000
86.39515,0.38466477,0.019554825,0.15384886,-85.81493,85.81493,0.27106234,-8.928123,-85.94975,-90.892136,3.2048368,-5.846294,41.922764,85.20057,0.39287487,0.018934833,0.14047351,-84.61835,84.61835,0.24149112,0.122648,-84.68347,-91.0258,0.0026032684326171875,174.60561680793762,40000
89.51158,0.3453809,0.0138534345,0.12213826,-89.027664,89.027664,0.14580435,-1.5678103,-89.087715,-93.53077,0.80963284,-0.94863766,15.567616,89.69577,0.3829973,0.015787773,0.13379349,-89.15489,89.15489,0.16892879,0.24721211,-89.21498,-93.54751,0.0026110321044921876,187.66078352928162,45000
89.28333,0.38420057,0.016214801,0.12259545,-88.736984,88.736984,0.23186052,-0.6901789,-88.82373,-95.79687,2.6311579,-2.5873876,25.052168,89.886055,0.39889696,0.016432008,0.122359306,-89.32284,89.32284,0.5178377,-4.6341834,-89.424545,-95.87496,0.0026201147079467774,200.76136422157288,50000
91.21672,0.3605777,0.018050894,0.114478454,-90.67564,90.67564,0.31897375,-0.9321194,-90.760544,-96.88098,0.8402896,-0.91018784,18.095186,90.34082,0.4055407,0.01940545,0.11753075,-89.74123,89.74123,0.29982543,-0.37143487,-89.8815,-96.81234,0.0026352057456970213,213.93739914894104,55000
91.758125,0.38123882,0.01735322,0.13151321,-91.203354,91.203354,0.25133687,-0.3353501,-91.341576,-98.1303,1.6383443,-4.360779,27.161224,90.76726,0.39347032,0.020023644,0.11894958,-90.17355,90.17355,0.35091484,-2.3670797,-90.31985,-98.63483,0.0026423166751861574,227.14899611473083,60000
