training/actor/actor_loss,training/actor/bc_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
45.609413,0.031227056,0.031037653,-45.297142,45.297142,0.23846844,-18.450138,-45.52338,-49.747486,0.4565971,-0.20584849,18.63945,45.448997,0.03737917,0.036974337,-45.075207,45.075207,0.36638156,-1.030217,-45.406616,-49.743065,0.019001387453079225,95.00695037841797,5000
56.49192,0.07565126,0.075394,-55.73541,55.73541,0.40815935,-0.77744657,-56.903717,-77.8674,0.59246933,-0.66117543,29.936026,57.18004,0.077358246,0.07701283,-56.406456,56.406456,0.6128299,-14.419704,-57.544754,-78.00622,0.0021406540393829345,105.71022748947144,10000
59.392254,0.09721008,0.09738704,-58.420155,58.420155,0.47818053,0.32708454,-60.041542,-86.72664,0.80864954,-0.82214487,41.49676,60.368103,0.079887,0.07929631,-59.569233,59.569233,0.47373268,-12.374938,-61.009003,-87.72477,0.001992970848083496,115.67508721351624,15000
55.710663,0.09361513,0.09387235,-54.774513,54.774513,0.44767383,-9.043716,-56.3749,-83.27682,0.6296384,-0.613892,33.82109,56.61953,0.09562389,0.09581158,-55.663292,55.663292,0.5223041,-9.527673,-57.215897,-91.08954,0.001985674571990967,125.60346555709839,20000
53.441193,0.08509116,0.08433648,-52.590282,52.590282,0.45098478,-7.436374,-54.04843,-81.99743,0.53785455,-0.5369986,36.410988,54.250565,0.08416278,0.08378597,-53.408936,53.408936,0.5006584,-7.624541,-54.8395,-82.61525,0.0019898882865905763,135.55291414260864,25000
52.264843,0.082365535,0.082043394,-51.44119,51.44119,0.4777829,-6.698606,-52.8388,-82.27209,0.31840488,-0.4420759,25.560629,52.966534,0.08037979,0.0803579,-52.162735,52.162735,0.49411333,-7.1028447,-53.42344,-82.12279,0.0020115983486175535,145.6109118461609,30000
52.172173,0.08458689,0.08449115,-51.326305,51.326305,0.5636507,-16.104954,-52.78325,-80.64485,1.0386739,-1.0313455,39.495743,53.284233,0.08722385,0.08676244,-52.411995,52.411995,0.39575213,-10.006,-53.91899,-83.08781,0.0020081302165985107,155.65156984329224,35000
51.682686,0.08889309,0.088961706,-50.793755,50.793755,0.40609503,-10.610673,-52.38746,-85.449524,0.44548088,-0.41707975,23.549995,52.392723,0.08767772,0.08743499,-51.515945,51.515945,0.64794207,-13.529856,-53.030716,-78.47887,0.002070828056335449,166.0057156085968,40000
52.34498,0.085934326,0.08565612,-51.485634,51.485634,0.3346892,-8.29557,-52.91946,-87.56221,0.5181675,-0.3547753,23.836937,51.874382,0.08404856,0.08423849,-51.033897,51.033897,0.40510368,-6.7706695,-52.538815,-84.14233,0.002034478521347046,176.17811346054077,45000
52.96588,0.07843468,0.07852451,-52.181534,52.181534,0.44943097,-11.372223,-53.427692,-83.26897,0.8808367,-0.5319246,33.071384,52.51897,0.07703971,0.07706711,-51.748573,51.748573,0.808103,-10.115566,-52.951393,-77.836426,0.002041154670715332,186.3838927745819,50000
53.962353,0.07986287,0.07978852,-53.163723,53.163723,0.54755855,1.5874734,-54.593346,-86.00734,0.8830111,-0.5970731,44.95538,54.746647,0.08641789,0.08615299,-53.88247,53.88247,0.52118295,-14.088475,-55.359116,-84.14894,0.0020381539344787596,196.57466793060303,55000
55.0279,0.081227005,0.08131401,-54.21563,54.21563,0.6143153,-7.064608,-55.600773,-84.828476,2.2385774,-1.4035825,57.56781,55.7096,0.084560685,0.08478278,-54.86399,54.86399,0.728819,1.3081484,-56.26228,-86.41028,0.0019854060173034667,206.50170350074768,60000
52.58542,0.08354031,0.083715856,-51.750015,51.750015,0.8157563,-13.014789,-53.174484,-88.51557,0.91385865,-0.78943247,46.947075,54.59917,0.086304195,0.086168885,-53.73613,53.73613,0.6764293,-1.7793913,-55.24787,-83.925316,0.0020178261280059816,216.59084033966064,65000
54.31699,0.07569712,0.07549166,-53.56002,53.56002,0.83550936,-5.6489224,-54.804176,-86.2425,1.2268091,-3.0594609,67.25388,52.057613,0.078630805,0.07836423,-51.271305,51.271305,1.0757926,-0.06075716,-52.655743,-88.57094,0.001989774942398071,226.53972029685974,70000
54.819363,0.08780092,0.087878786,-53.941353,53.941353,0.8434708,6.6293087,-55.321613,-96.0429,1.077251,-1.0059147,44.7985,54.13156,0.08172592,0.0813717,-53.3143,53.3143,0.8970103,-12.974015,-54.70511,-88.02747,0.0019840305805206297,236.4598789215088,75000
55.967697,0.07388096,0.073277675,-55.22889,55.22889,1.7400544,-12.176837,-56.49929,-91.784676,1.1542438,-1.081277,52.249947,56.843975,0.07923434,0.07900559,-56.051632,56.051632,0.9270982,-10.985756,-57.29677,-88.941925,0.0020180718421936037,246.55024409294128,80000
55.78248,0.07744875,0.07733043,-55.00799,55.00799,0.8596344,-2.818292,-56.33623,-86.13777,1.5111037,-1.5347607,53.467663,54.58541,0.0821036,0.08193445,-53.764374,53.764374,1.2420056,-7.6651387,-55.19887,-88.5623,0.0020591845512390136,256.846173286438,85000
53.307613,0.078257315,0.078197286,-52.52504,52.52504,0.84335876,-14.022163,-53.96636,-91.50403,1.5260788,-0.9941734,54.29641,52.552258,0.08807179,0.0869322,-51.67154,51.67154,1.4807987,-15.211342,-53.149406,-93.26133,0.0020412962436676023,267.05266094207764,90000
51.24107,0.07594951,0.07606005,-50.481575,50.481575,0.8358326,-4.5063705,-51.74035,-102.58108,1.0807106,-1.9120784,62.017044,53.56541,0.07545259,0.075263694,-52.810886,52.810886,1.135082,-11.929254,-54.024277,-93.095566,0.0020218803882598876,277.16206908226013,95000
56.590027,0.078697845,0.0783968,-55.803047,55.803047,0.91416085,-7.2480707,-57.21556,-94.53118,0.7833243,-0.9545424,43.93333,55.34041,0.08899254,0.08903714,-54.45048,54.45048,1.1038364,-9.044721,-55.90286,-88.19569,0.002062184190750122,287.47299551963806,100000
51.890984,0.08071969,0.0806426,-51.083786,51.083786,0.85592437,-10.228211,-52.444946,-104.14189,1.3946228,-1.3852699,65.09191,52.702126,0.08960607,0.08901148,-51.806065,51.806065,1.5562503,-4.2677326,-53.230225,-93.447266,0.017069770193099975,372.8218517303467,105000
52.08226,0.085803226,0.08568298,-51.224228,51.224228,0.93272984,-8.659353,-52.766502,-86.690636,1.3475184,-1.3558292,53.508713,52.39005,0.09119375,0.090425655,-51.47811,51.47811,1.2663939,-13.79392,-52.98867,-90.746605,0.002066309118270874,383.1534025669098,110000
53.929348,0.076974146,0.07640353,-53.159607,53.159607,0.6811494,-12.074094,-54.331024,-90.798416,1.5398608,-1.2573593,45.525024,53.71263,0.07336133,0.073015176,-52.97902,52.97902,1.10926,-12.037763,-54.10235,-79.17689,0.0021238433837890624,393.77262473106384,115000
55.504517,0.087034665,0.0869712,-54.63417,54.63417,0.8848262,-16.882084,-56.17785,-91.938774,1.0386686,-1.0350907,52.907852,55.777885,0.093920164,0.094108306,-54.838684,54.838684,1.259747,-9.220565,-56.529053,-87.101074,0.0020647383213043212,404.0963222980499,120000
55.756203,0.07797726,0.07768156,-54.97643,54.97643,1.1235602,-1.1532967,-56.3031,-116.406815,2.0640187,-1.3025571,68.13134,54.11711,0.0873653,0.08699001,-53.243458,53.243458,1.380432,-1.8825274,-54.79841,-88.7373,0.002125754451751709,414.72510266304016,125000
54.998604,0.07958662,0.0789325,-54.202736,54.202736,0.8172753,-14.532259,-55.688454,-115.19176,1.9289752,-2.230043,70.064735,53.432373,0.08851403,0.08873608,-52.547234,52.547234,1.1921271,-15.013368,-54.010353,-88.87033,0.0021669918537139893,425.560067653656,130000
54.610023,0.090524845,0.09008525,-53.704777,53.704777,1.022036,-7.6782074,-55.31217,-94.28155,2.7176504,-2.3927207,81.83913,54.648483,0.084881954,0.08507498,-53.799664,53.799664,1.3382106,-8.411054,-55.294872,-85.91608,0.002099014377593994,436.05514574050903,135000
50.894585,0.09363559,0.09373523,-49.95823,49.95823,0.9438052,-14.604587,-51.586403,-84.43746,1.1038586,-1.1124144,52.74684,52.375782,0.08425402,0.08403748,-51.53324,51.53324,1.1785579,-9.294004,-53.011787,-84.013145,0.0020732011318206787,446.4211571216583,140000
48.63005,0.09058695,0.0902491,-47.724182,47.724182,0.90037453,-10.865072,-49.353554,-79.683754,1.4330852,-1.2041004,50.05538,50.554,0.097436324,0.097094454,-49.57964,49.57964,1.3428763,-14.360978,-51.238396,-82.259796,0.0020885801315307616,456.86406350135803,145000
52.449337,0.07705926,0.07664668,-51.678745,51.678745,0.7250341,-0.19781959,-52.99685,-85.14471,1.1716362,-1.1315054,55.250217,51.177845,0.07980783,0.07943171,-50.37977,50.37977,1.3776517,-7.0439453,-51.69866,-88.78556,0.002070589208602905,467.2170162200928,150000
52.45317,0.073970854,0.073809505,-51.713463,51.713463,0.73624474,-11.376249,-53.002167,-83.53755,1.2127776,-1.2973951,54.83942,51.544724,0.07523446,0.074835144,-50.792377,50.792377,1.1968038,-14.448766,-52.078606,-76.07589,0.002116635465621948,477.8001992702484,155000
52.886776,0.08277543,0.082690746,-52.05902,52.05902,0.76044905,-14.554689,-53.524654,-84.15663,1.2360395,-1.5919641,54.33195,52.11817,0.08498165,0.08507043,-51.268356,51.268356,1.1195617,-15.926907,-52.708664,-90.64013,0.0020676371097564697,488.1383910179138,160000
52.522346,0.08162703,0.08102282,-51.706078,51.706078,1.0446684,-11.731872,-53.04151,-88.88542,1.0449274,-2.3881938,64.43192,53.62877,0.08318801,0.08370232,-52.79689,52.79689,0.8788433,-17.792765,-54.052925,-87.27381,0.002109630537033081,498.68654918670654,165000
54.446697,0.07111324,0.070865445,-53.735565,53.735565,0.5719515,-7.2799463,-54.998245,-90.3908,1.1998632,-1.0407642,38.152798,53.63664,0.080928124,0.08070796,-52.82736,52.82736,1.1392555,-6.3652782,-54.17559,-82.151985,0.002144987487792969,509.41149282455444,170000
54.120132,0.076048404,0.075973056,-53.35965,53.35965,0.7310516,-8.17386,-54.768906,-93.34901,1.3697968,-0.9732937,38.60934,53.16525,0.08804589,0.08747019,-52.28479,52.28479,1.2618796,-11.87919,-53.62423,-82.14582,0.00218185830116272,520.3207905292511,175000
55.726055,0.08555582,0.08548532,-54.8705,54.8705,1.0037082,0.9199531,-56.379444,-96.96501,3.6862123,-2.1443408,87.271095,56.4502,0.0849162,0.084691145,-55.601036,55.601036,1.2189337,-21.948523,-56.988018,-85.16851,0.0021191834926605224,530.9167141914368,180000
52.71988,0.08686203,0.08652552,-51.851257,51.851257,1.0523914,-5.5884542,-53.436535,-84.80541,3.1833117,-2.1724734,68.48856,54.05226,0.098992065,0.098928414,-53.06234,53.06234,1.8700749,-18.589893,-54.682304,-85.37914,0.002156677293777466,541.7001066207886,185000
51.736343,0.08180271,0.081549324,-50.918316,50.918316,0.7469487,-14.813368,-52.264854,-95.34163,1.2503037,-1.2670032,43.560875,52.125614,0.07445194,0.07416657,-51.381096,51.381096,1.307863,-15.353051,-52.680756,-87.47473,0.0021173350811004637,552.286788225174,190000
50.994587,0.08409444,0.08331516,-50.15364,50.15364,0.7693617,-13.255431,-51.66339,-85.33339,2.0577493,-1.2695659,53.417248,51.84905,0.07935592,0.07907381,-51.05549,51.05549,1.5406039,-12.2720175,-52.389984,-88.55919,0.0021656869411468506,563.1152286529541,195000
53.0185,0.076878965,0.07762455,-52.24971,52.24971,0.8524076,-12.548211,-53.57215,-87.149796,2.4478958,-1.5189433,53.99352,52.65126,0.07855713,0.078364395,-51.86569,51.86569,1.6157802,-3.8036966,-53.12629,-88.58349,0.002136965084075928,573.8000593185425,200000
53.849678,0.07316031,0.07282307,-53.118076,53.118076,0.6293183,-15.575933,-54.385143,-83.86725,1.3061612,-1.3592296,39.84529,54.44283,0.07504829,0.07512929,-53.692345,53.692345,1.1416175,-7.9644513,-54.882256,-92.59653,0.016486003255844116,656.2300817966461,205000
55.582657,0.090067275,0.089715704,-54.681984,54.681984,0.8365079,-15.965848,-56.075146,-118.13124,4.352022,-2.86101,74.02856,56.00396,0.08394934,0.08344446,-55.164467,55.164467,1.5072429,-1.0813845,-56.51352,-88.45984,0.0022054126262664796,667.257150888443,210000
55.740498,0.0781297,0.07797792,-54.9592,54.9592,0.7935915,-11.155158,-56.272255,-94.13387,2.8790681,-1.9159319,83.47494,54.99835,0.071468845,0.07151085,-54.28366,54.28366,1.2851193,-8.481142,-55.528942,-90.034836,0.002137993383407593,677.9471235275269,215000
56.638832,0.07565761,0.075789325,-55.882256,55.882256,0.9922472,-12.4959955,-57.17961,-92.56158,3.2396483,-1.9769274,74.86118,56.971416,0.08230812,0.08210813,-56.148335,56.148335,1.4170668,-10.910412,-57.416332,-95.98791,0.002181952238082886,688.8568911552429,220000
56.433014,0.06867089,0.06859254,-55.746304,55.746304,0.7612374,-12.952301,-56.931805,-105.17682,1.6906921,-1.1161695,48.872498,55.219913,0.06852715,0.06868444,-54.53464,54.53464,1.0993191,-14.028305,-55.631504,-92.172104,0.0021463130474090575,699.5884623527527,225000
56.93881,0.07231643,0.07196305,-56.215645,56.215645,1.080926,-19.219273,-57.529964,-95.56509,1.9742156,-3.0517206,74.575195,55.193684,0.079746775,0.07693956,-54.396217,54.396217,1.2242223,-14.881374,-55.521515,-92.68241,0.002057805442810059,709.877495765686,230000
57.699837,0.08233718,0.0819349,-56.876465,56.876465,0.9641569,-17.220879,-58.204086,-100.21184,5.0841618,-2.505159,96.81297,58.502483,0.07048597,0.07030288,-57.797623,57.797623,1.4361739,-19.278633,-58.998405,-99.17598,0.0021073203086853028,720.4141049385071,235000
61.469868,0.07945538,0.07899214,-60.675312,60.675312,0.8853173,-19.33882,-62.070633,-108.29563,3.3703606,-3.2065573,88.33777,59.182217,0.078956805,0.07882765,-58.392647,58.392647,2.0422163,-17.99315,-59.72399,-104.92758,0.0020859928607940676,730.8440749645233,240000
55.460728,0.084092155,0.08415737,-54.619804,54.619804,1.0780089,-5.000366,-55.999577,-99.44924,2.1747832,-1.468916,54.92488,56.15705,0.0850982,0.08502592,-55.30607,55.30607,2.226811,-10.009687,-56.5974,-98.14613,0.0021072850227355955,741.3805062770844,245000
56.968758,0.07697219,0.076452844,-56.199036,56.199036,0.9322827,-13.8001585,-57.522827,-112.05688,2.5779548,-3.5060182,100.238396,56.25886,0.084458135,0.08384246,-55.41428,55.41428,1.8094405,-11.027812,-56.783985,-103.127594,0.0020658860206604003,751.7099430561066,250000
58.0993,0.07507668,0.0748661,-57.348534,57.348534,1.404969,-20.323952,-58.569046,-96.455666,3.0090635,-2.6708665,93.48564,59.20587,0.07485445,0.075144336,-58.45733,58.45733,1.6784472,-14.074387,-59.633095,-110.97158,0.0020858371257781983,762.1391351222992,255000
60.482483,0.076554485,0.076258145,-59.716938,59.716938,0.70854557,-19.661621,-61.067783,-116.498116,2.671628,-2.6309035,76.039,62.001686,0.07947756,0.07934251,-61.20691,61.20691,2.1678207,-9.928277,-62.438164,-107.707596,0.002051208686828613,772.3951845169067,260000
62.354107,0.08416287,0.08353058,-61.512478,61.512478,0.9288382,-8.0930395,-63.018555,-114.74325,1.8348112,-3.4165475,75.00046,60.92554,0.087956004,0.087738626,-60.045982,60.045982,2.5384178,-11.223654,-61.608078,-108.71386,0.0020427847862243653,782.609114408493,265000
59.216526,0.07332446,0.07315017,-58.48328,58.48328,0.9044213,-11.760316,-59.823967,-116.09521,3.2221465,-1.4980232,67.27724,57.90459,0.08213669,0.080692105,-57.083225,57.083225,2.1156309,-12.14181,-58.382774,-102.808754,0.0020524774551391603,792.8715074062347,270000
58.95983,0.0738288,0.07366344,-58.221542,58.221542,0.9668733,-17.073645,-59.531956,-112.02361,1.7646018,-1.9409459,57.710762,58.25626,0.075760245,0.075413324,-57.498657,57.498657,1.5746318,-15.670209,-58.681343,-103.04829,0.002081912422180176,803.2810754776001,275000
58.615242,0.06909795,0.06896915,-57.924263,57.924263,0.92678523,-22.115835,-59.159805,-111.78523,2.4497662,-2.3932693,54.419754,60.317657,0.0764223,0.076309994,-59.553436,59.553436,2.1633253,-20.17743,-60.681946,-104.35752,0.002082977771759033,813.6959705352783,280000
60.415325,0.07158307,0.07145237,-59.699493,59.699493,0.87972134,-14.745092,-60.9222,-114.72121,1.1721743,-1.2605205,51.931904,59.08841,0.073367745,0.0734997,-58.354733,58.354733,2.1401877,-13.560734,-59.5915,-101.67348,0.0020790328025817872,824.0911402702332,285000
63.291092,0.06573253,0.065194525,-62.633766,62.633766,0.93309903,-22.168627,-63.811043,-114.17583,1.2839766,-1.2491996,42.22947,63.164425,0.07151552,0.0710817,-62.44927,62.44927,2.2730355,-6.155259,-63.700397,-111.1705,0.0020832982540130614,834.5076377391815,290000
63.648952,0.06645074,0.06638249,-62.984444,62.984444,0.99854696,-21.28236,-64.20561,-130.82642,1.4125217,-1.7543379,51.280647,64.10882,0.070929885,0.070903085,-63.39952,63.39952,2.2612925,-8.245994,-64.52368,-107.21664,0.0020495759963989257,844.755523443222,295000
61.931965,0.066614196,0.066208065,-61.265823,61.265823,0.89160925,-19.035284,-62.438828,-107.745155,2.2311378,-1.1258847,45.82635,63.5527,0.075615995,0.07553978,-62.79654,62.79654,2.3699708,-3.4919043,-63.953342,-116.92097,0.0020680389881134035,855.0957238674164,300000
64.90452,0.07042498,0.07016146,-64.20027,64.20027,1.089112,-17.883633,-65.45185,-117.26162,2.0728824,-1.8477474,55.323437,62.998127,0.074867025,0.074825555,-62.24946,62.24946,2.2028098,-3.4193723,-63.43664,-109.769485,0.016581620121002196,938.0038311481476,305000
65.10151,0.080850385,0.080722295,-64.29301,64.29301,1.1016848,-0.017014563,-65.772026,-131.57907,1.4627737,-2.6430266,73.5527,62.279846,0.086518474,0.08648429,-61.41466,61.41466,2.4116993,-4.1246834,-62.81511,-103.42956,0.0020623319625854494,948.3154962062836,310000
63.473206,0.08221816,0.08213281,-62.651024,62.651024,0.7859511,-15.111728,-64.112404,-145.06575,2.8615022,-4.6883845,89.48174,64.05199,0.087135874,0.086927965,-63.180626,63.180626,1.9542887,-25.890858,-64.42456,-117.71958,0.002076173305511475,958.6963682174683,315000
64.26605,0.07603727,0.075637504,-63.505676,63.505676,1.2505909,-18.492197,-64.8582,-142.31363,3.0796902,-2.5447063,86.45283,65.35279,0.08600246,0.085350774,-64.49277,64.49277,2.7822175,-14.266609,-65.827576,-107.89412,0.002091632127761841,969.1545343399048,320000
63.52777,0.07293236,0.07237808,-62.798447,62.798447,1.0851723,-14.243414,-64.09908,-119.59692,2.6766016,-6.163395,117.415695,63.994366,0.07885691,0.07869511,-63.205795,63.205795,2.9659195,-13.394506,-64.50537,-117.00235,0.002126053285598755,979.7848062515259,325000
63.863876,0.066223815,0.06592808,-63.201637,63.201637,0.9988265,-11.3406315,-64.36696,-117.27668,1.1069548,-3.2439322,59.134285,63.774532,0.07982703,0.07905396,-62.97626,62.97626,2.95851,-21.264112,-64.152,-119.14127,0.002077969741821289,990.1746604442596,330000
64.44787,0.07227329,0.07182271,-63.725136,63.725136,0.73312753,-7.309725,-65.02428,-132.54167,1.128611,-1.9400963,43.245396,61.656593,0.08139964,0.081016466,-60.842598,60.842598,2.9313025,-7.00941,-62.096123,-124.99718,0.002085946798324585,1000.604400396347,335000
64.719986,0.07284564,0.07268881,-63.99153,63.99153,0.92588603,-10.434254,-65.32445,-133.13283,2.3570485,-1.5873902,59.45051,62.914486,0.076096825,0.07580479,-62.15352,62.15352,3.416653,-8.129992,-63.35075,-137.60909,0.00207401123046875,1010.9744625091553,340000
66.23893,0.072733454,0.07277911,-65.5116,65.5116,1.0058287,-6.0074673,-66.7202,-139.50316,1.9791973,-1.0724956,56.492138,64.73275,0.077935,0.077654354,-63.953403,63.953403,2.756997,-16.460958,-65.21929,-110.79926,0.0021284832954406737,1021.6168854236603,345000
66.93993,0.070324585,0.07059415,-66.23669,66.23669,0.8605872,-18.264584,-67.46767,-130.08807,3.085503,-2.5518646,73.53616,65.535835,0.07514701,0.0747576,-64.78436,64.78436,3.1077335,-11.437937,-65.87325,-115.53853,0.00201637077331543,1031.6987454891205,350000
68.331985,0.059579838,0.05955894,-67.73619,67.73619,0.7044334,-15.784103,-68.7867,-127.416985,3.2301881,-3.0555253,76.768776,68.20355,0.072722696,0.0724028,-67.476326,67.476326,3.197957,-22.634375,-68.52718,-142.19676,0.00204693078994751,1041.933405160904,355000
69.55779,0.07190273,0.07136581,-68.83877,68.83877,0.9717502,-20.217714,-70.098145,-133.30823,3.112923,-6.8649693,108.30466,67.350815,0.07873391,0.07822943,-66.56348,66.56348,2.9887857,-26.177992,-67.718445,-119.325005,0.0020604035377502442,1052.235428571701,360000
68.70146,0.07054781,0.07003068,-67.99599,67.99599,0.8443791,-10.950324,-69.247955,-139.44815,3.5006495,-2.27795,65.532135,68.51685,0.07514457,0.073685825,-67.76541,67.76541,3.190733,-5.5750494,-68.84302,-129.89348,0.002102421808242798,1062.7475435733795,365000
68.882065,0.06603806,0.06573743,-68.22169,68.22169,1.050891,-22.999422,-69.412994,-135.48308,3.3794873,-2.5148864,64.55566,67.37609,0.07288897,0.07237484,-66.6472,66.6472,4.063499,-10.436942,-67.74868,-130.65747,0.002080053806304932,1073.1478180885315,370000
69.82854,0.06850846,0.068015635,-69.143456,69.143456,1.1041903,-24.945751,-70.311386,-119.26582,1.8360039,-5.0482664,90.87348,67.734055,0.07844978,0.07568718,-66.949554,66.949554,3.2978191,-16.74702,-67.91687,-121.41994,0.00208600172996521,1083.5778322219849,375000
