training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.64398,0.4860685,0.021338772,0.19030027,-23.945591,23.945591,0.14826035,-1.6283966,-23.960098,-27.671127,1.3004037,-2.261385,24.788223,24.909828,0.4861002,0.021828376,0.1784245,-24.206535,24.206535,0.029766124,-22.296684,-24.206572,-27.354185,0.017802080583572386,89.01041269302368,5000
42.07758,0.40963978,0.01857571,0.16091469,-41.48404,41.48404,0.07969493,-0.9960504,-41.49109,-44.781387,0.90214914,-1.2180307,17.877722,42.486145,0.4598106,0.0185685,0.1892539,-41.842506,41.842506,0.32819197,-25.357569,-41.88999,-44.704018,0.002653010368347168,102.27547192573547,10000
55.2066,0.43736652,0.01889182,0.1568816,-54.58315,54.58315,0.7907532,-0.36692992,-54.643875,-57.7401,2.4946628,-5.596048,41.83896,55.134632,0.4561236,0.019369893,0.15286747,-54.487717,54.487717,0.25744653,-1.1712562,-54.59648,-57.55028,0.0026490832328796387,115.52089357376099,15000
65.256165,0.40980512,0.012973731,0.13062234,-64.719215,64.719215,0.25181967,-5.8337336,-64.75179,-67.652885,2.9650202,-3.1743135,42.088135,63.567574,0.45415002,0.016155865,0.14260155,-62.955097,62.955097,0.6251682,-0.4451727,-63.01073,-67.59084,0.002755680704116821,129.29930305480957,20000
72.45716,0.39320904,0.014223378,0.14781101,-71.92528,71.92528,0.19881353,-0.26460212,-71.9367,-75.4429,0.8622321,-2.0180864,19.17598,71.362335,0.42103413,0.016770504,0.13319632,-70.77779,70.77779,0.30989784,-0.41778395,-70.847176,-75.23898,0.0028463329315185546,143.53097295761108,25000
78.228264,0.34621274,0.015190998,0.1246271,-77.734695,77.734695,0.1895692,-0.054151073,-77.81033,-81.57014,2.4058075,-1.6853766,26.200985,78.4541,0.42891592,0.017713612,0.15058574,-77.85336,77.85336,0.24785784,-0.18491268,-77.94699,-81.55716,0.002897324323654175,158.01760125160217,30000
84.203255,0.3942961,0.013229828,0.13459697,-83.68129,83.68129,0.35012686,-12.6044655,-83.69707,-86.24057,1.7114764,-2.4764278,30.17123,81.33004,0.42911834,0.015594972,0.13665873,-80.75043,80.75043,1.5503,-0.3902264,-80.877144,-86.14229,0.0029276987075805665,172.65610074996948,35000
86.00589,0.3902378,0.017133648,0.13461542,-85.45117,85.45117,0.53980833,-1.1960243,-85.50853,-89.71232,5.424288,-12.864106,76.29118,83.61283,0.39439803,0.020144492,0.13343781,-83.02505,83.02505,0.5163915,-0.12839906,-83.160484,-89.7814,0.002954923343658447,187.43072414398193,40000
87.67189,0.37680757,0.013135908,0.12237145,-87.16963,87.16963,0.24978079,-1.1952885,-87.24748,-92.93737,2.4780316,-1.3810613,24.638754,86.344246,0.32022703,0.016425937,0.11572167,-85.86715,85.86715,0.28250587,-18.124844,-85.97872,-92.739174,0.002965321445465088,202.25733733177185,45000
90.086945,0.37762764,0.013213584,0.113931485,-89.583786,89.583786,0.21165653,-0.50011396,-89.654526,-95.40618,1.6619501,-2.2845423,19.161171,89.34948,0.38136002,0.020625915,0.13572876,-88.77217,88.77217,0.39213103,-2.8078446,-88.91592,-94.58213,0.0029801557540893556,217.15812373161316,50000
