training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
18.926298,0.44779938,1.1011894,1.0554051,-18.423439,18.423439,0.19577585,-0.8877296,-18.89027,-23.797909,0.40805793,-0.6461461,13.583344,19.414686,0.47249815,1.1235594,1.0809095,-18.88601,18.88601,0.1412324,-0.34394646,-19.318226,-23.757124,0.01705061798095703,85.25310039520264,5000
27.188848,0.36699504,0.99464136,0.9600309,-26.72239,26.72239,0.13074012,0.027545057,-27.259838,-39.45543,0.79633826,-0.9873786,18.017263,28.249243,0.44543335,0.99985534,1.0211184,-27.703823,27.703823,0.21390575,-0.042157087,-28.231659,-39.377594,0.0026358534336090086,98.43237471580505,10000
34.107437,0.43469203,0.7514415,0.80050117,-33.560028,33.560028,0.15573463,-2.6714406,-33.967216,-48.63945,1.4407291,-1.4973569,23.841234,33.778187,0.4477353,0.80864584,0.8201055,-33.209156,33.209156,0.1338524,-3.2976475,-33.667408,-47.765026,0.0026446518421173095,111.65564036369324,15000
40.68644,0.42699558,0.6345813,0.71886754,-40.132526,40.132526,0.17312975,-0.3289002,-40.5394,-57.602436,1.7971035,-2.3859816,32.60443,40.051315,0.43419898,0.64184713,0.69123757,-39.488747,39.488747,0.14468955,-4.928109,-39.89185,-56.815414,0.0027370810031890867,125.34105181694031,20000
47.263824,0.38695455,0.63275695,0.6815585,-46.71868,46.71868,0.19941571,-0.00827913,-47.184578,-63.4072,1.5282409,-1.0300881,20.60997,47.36068,0.3987766,0.60477424,0.6610794,-46.81071,46.81071,0.2428632,-0.67463267,-47.224983,-62.716106,0.0028214913368225097,139.44851446151733,25000
49.70753,0.3462306,0.5443295,0.61330795,-49.198,49.198,0.21655652,-2.6644917,-49.739273,-68.485916,1.2719455,-2.0075634,20.648539,49.679504,0.40499306,0.5103515,0.58331627,-49.121407,49.121407,0.16490994,-0.28876278,-49.56173,-67.97961,0.002876608753204346,153.8315668106079,30000
51.101437,0.44801754,0.5601664,0.60164756,-50.45736,50.45736,0.13619494,-0.27050054,-50.959137,-75.05652,0.9841956,-0.9298256,15.309471,51.586525,0.4135654,0.54754627,0.5892832,-50.98132,50.98132,0.2498239,0.06713174,-51.48597,-71.997536,0.0029210113525390624,168.43663001060486,35000
51.68162,0.3892842,0.53308684,0.60320556,-51.0791,51.0791,0.16636486,-0.31697282,-51.67881,-75.61527,0.71199673,-0.68202937,14.277674,51.49551,0.43415546,0.52512944,0.57200384,-50.851303,50.851303,0.19445579,-0.16948985,-51.407257,-75.006546,0.0029372395038604737,183.1228325366974,40000
51.60841,0.3567142,0.47991502,0.5326865,-51.035732,51.035732,0.18032676,-6.4004188,-51.58314,-85.0681,0.6427388,-0.39141777,14.27211,50.688473,0.4308174,0.44218785,0.47999734,-50.05867,50.05867,0.19984765,0.040787823,-50.552055,-77.22992,0.002941543531417847,197.8305561542511,45000
52.55737,0.3603929,0.40866238,0.48539397,-51.992645,51.992645,0.18235825,-1.4538771,-52.51864,-80.162605,1.9766579,-1.298218,22.004938,51.409946,0.38522124,0.40936187,0.4741403,-50.820045,50.820045,0.31172317,0.09047409,-51.360455,-78.99925,0.002952604913711548,212.59358549118042,50000
54.328533,0.35105008,0.36304626,0.41953227,-53.77781,53.77781,0.20722666,-7.818666,-54.2743,-81.503975,1.7876964,-0.9702983,20.698484,54.260628,0.36027753,0.38442326,0.44234556,-53.68892,53.68892,0.19567259,0.12890077,-54.205532,-77.00167,0.0029608153343200685,227.39766836166382,55000
55.18386,0.35876507,0.21675812,0.27884752,-54.69504,54.69504,0.10352333,0.20365554,-54.965485,-88.73967,0.82086813,-0.57324266,11.041997,55.758892,0.41768372,0.28340542,0.3582425,-55.171165,55.171165,0.12483123,0.42035452,-55.52234,-81.86164,0.0029696603298187256,242.24597597122192,60000
58.519234,0.39426264,0.28591812,0.34564793,-57.939125,57.939125,0.15741602,-2.331606,-58.40295,-86.118324,1.1409645,-0.83481133,14.673721,58.589035,0.38586187,0.27751845,0.34460732,-58.022785,58.022785,0.25927532,-0.07418946,-58.393105,-81.96981,0.0029739293098449706,257.11562848091125,65000
62.15304,0.37425268,0.21465306,0.28330797,-61.628532,61.628532,0.1251302,-2.0887117,-61.943306,-85.97299,0.64542246,-0.7000589,11.034792,61.16898,0.36684284,0.23355794,0.28998175,-60.638645,60.638645,0.17765763,-0.351875,-61.012463,-84.6818,0.002981031084060669,272.02078914642334,70000
66.16846,0.35367483,0.14584675,0.21194617,-65.7054,65.7054,0.08568295,-1.0170512,-65.90664,-90.180305,0.77208334,-0.38625255,13.664283,65.1765,0.36558533,0.16751507,0.255804,-64.68528,64.68528,0.14829129,-0.14144717,-64.91578,-87.28086,0.0029933977603912353,286.9877841472626,75000
66.98851,0.3301509,0.2046635,0.271605,-66.49463,66.49463,0.16843916,-0.06296983,-66.86406,-95.29735,0.84538066,-0.7820272,12.482878,67.11547,0.38707376,0.20010279,0.27072054,-66.56831,66.56831,0.24066035,-0.5031591,-66.94942,-89.3722,0.0029837522983551024,301.90655064582825,80000
68.56944,0.37028664,0.19988683,0.28038484,-68.02925,68.02925,0.16690248,-6.2683105,-68.383804,-94.29075,0.58200294,-0.9121986,14.7790165,67.83144,0.33094054,0.18703413,0.26333952,-67.34152,67.34152,0.32008052,-1.4733862,-67.68617,-90.41938,0.0029799336433410646,316.8062241077423,85000
71.330315,0.29279703,0.18513878,0.2666003,-70.870895,70.870895,0.12565023,-24.990017,-71.210815,-90.13593,1.6195787,-0.9668812,19.808218,70.50318,0.3878773,0.19334161,0.2929423,-69.9413,69.9413,0.27401528,-0.6630761,-70.2967,-91.16054,0.0029704827785491943,331.65864396095276,90000
72.423355,0.3694007,0.1349961,0.21605256,-71.925705,71.925705,0.1466773,-0.5690344,-72.166885,-96.31452,1.1245368,-2.2208836,21.04499,70.80592,0.40978563,0.15084308,0.24096832,-70.25284,70.25284,0.2930119,0.28110683,-70.526596,-94.794014,0.002968596124649048,346.5016303062439,95000
73.59764,0.36811993,0.12960035,0.21063644,-73.09992,73.09992,0.1340295,-0.15413116,-73.34207,-93.991196,0.88147444,-1.3194562,16.778913,71.60649,0.33370382,0.1428934,0.21229097,-71.12989,71.12989,0.19172716,0.0898733,-71.400925,-91.52378,0.002969282865524292,361.3480496406555,100000
75.51358,0.36173213,0.11730963,0.20007306,-75.02867,75.02867,0.13221195,-18.368357,-75.25821,-94.40718,0.62974924,-1.0932806,11.109686,74.34194,0.33684286,0.13740674,0.23445079,-73.860825,73.860825,0.15035003,-1.3340093,-74.13667,-94.4777,0.014140648889541627,432.05130672454834,105000
