training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
46.643932,0.18684082,0.007684952,0.038303476,-46.38024,46.38024,0.20158653,-19.693476,-46.462105,-49.863106,0.19171923,-0.18636309,13.433579,46.727562,0.2222377,0.0073908786,0.04127692,-46.431416,46.431416,0.3243173,0.40186548,-46.519394,-49.91933,0.020678564834594727,103.39283275604248,5000
55.431847,0.14608167,0.055859853,0.0827142,-54.727165,54.727165,0.5800973,0.7618128,-55.957165,-79.0313,0.8098093,-0.84594107,46.49563,56.588264,0.20537667,0.056903034,0.09296542,-55.813858,55.813858,0.47222424,-18.927853,-57.022057,-79.921745,0.0027562246322631835,117.17396330833435,10000
57.813423,0.18554309,0.06529443,0.09968448,-56.974937,56.974937,0.58861506,-0.34782332,-58.42572,-86.03486,0.42562884,-0.51136595,33.8784,58.79447,0.19558041,0.065715104,0.08181304,-57.941742,57.941742,0.50783217,-10.612135,-59.276333,-86.973206,0.0027219651222229004,130.78379607200623,15000
54.90911,0.18555862,0.066670686,0.09347092,-54.056847,54.056847,0.4419895,-1.8828018,-55.52323,-84.54254,0.60616946,-0.57559705,38.041706,56.15695,0.20659256,0.07252895,0.10011452,-55.22507,55.22507,0.63540936,-6.2643967,-56.677185,-87.918396,0.0027257716178894042,144.41266012191772,20000
54.78695,0.22251359,0.0771618,0.10141547,-53.792816,53.792816,0.467802,-8.444997,-55.30178,-82.38994,0.37027973,-0.35807234,29.299232,55.662445,0.15567072,0.07196211,0.095857866,-54.787155,54.787155,0.56948626,0.88534856,-56.24411,-83.32425,0.0027496089935302734,158.160710811615,25000
52.896465,0.17084035,0.07913582,0.102889515,-51.934265,51.934265,0.6851129,-14.230413,-53.530106,-80.94078,0.582996,-0.57371974,34.874794,53.94268,0.18551154,0.07705468,0.10024138,-52.98662,52.98662,0.729921,-15.201662,-54.46946,-80.43816,0.0027836989402770995,172.07921075820923,30000
54.351013,0.19554608,0.06406882,0.09156872,-53.51478,53.51478,0.4278607,-14.04604,-54.882973,-80.303085,0.61610913,-0.50641006,34.66207,56.232826,0.1820507,0.06553762,0.100347735,-55.3954,55.3954,0.38316482,-9.37071,-56.775375,-81.98578,0.002808919906616211,186.12381625175476,35000
53.623924,0.1714502,0.07213353,0.09088025,-52.73114,52.73114,0.36985636,-10.65686,-54.202545,-82.794014,0.6094022,-0.6043333,29.35679,54.354023,0.21911922,0.06520281,0.08525514,-53.482876,53.482876,0.5294054,-11.698256,-54.834625,-83.74731,0.0028348994731903078,200.29831910133362,40000
53.504784,0.18140808,0.06881526,0.089374565,-52.635223,52.635223,0.49202812,-17.019852,-54.09598,-85.92193,0.6260415,-0.797355,33.463104,53.820366,0.16736744,0.06881243,0.08881016,-52.964874,52.964874,0.60218716,-11.327222,-54.449818,-84.49715,0.002894773006439209,214.7721905708313,45000
54.16392,0.1611285,0.06418384,0.0922756,-53.360954,53.360954,0.44888905,-10.809982,-54.75557,-83.46339,0.46285212,-0.7351785,28.797941,53.794735,0.18253016,0.069039896,0.10022142,-52.921806,52.921806,0.5591531,-11.697532,-54.263363,-82.68105,0.0029406641006469725,229.47551655769348,50000
53.98563,0.18272488,0.05769514,0.07828789,-53.225952,53.225952,0.48396662,-0.3868331,-54.491165,-82.185646,1.2478709,-0.60306156,36.91141,54.907223,0.17451768,0.060544647,0.07902407,-54.12726,54.12726,0.5683682,-12.144,-55.37587,-83.833084,0.0029752030849456786,244.35153818130493,55000
55.89822,0.18658195,0.064387016,0.085210375,-55.06777,55.06777,0.5622993,-9.381569,-56.417324,-82.68999,1.0931273,-1.9495885,48.31025,56.547306,0.19677153,0.061353225,0.085005894,-55.737003,55.737003,0.7969147,-5.3898444,-57.05255,-83.11457,0.003000378465652466,259.3534371852875,60000
53.30655,0.229869,0.06598728,0.086199105,-52.41681,52.41681,0.5807905,-13.0755625,-53.772324,-80.51873,0.8567883,-0.80211335,44.19931,55.09031,0.17114712,0.067461655,0.09250982,-54.244545,54.244545,0.5763038,-2.3429139,-55.659985,-83.057945,0.0030235743045806886,274.47131419181824,65000
54.510956,0.19608806,0.07326306,0.09284551,-53.582237,53.582237,0.8399465,-10.375502,-55.085625,-85.852486,1.0539545,-1.0001912,46.442314,52.482056,0.17045455,0.06886621,0.08653599,-51.62294,51.62294,0.82712567,1.6338929,-53.103256,-85.183495,0.0030331404209136964,289.63702154159546,70000
52.647808,0.20112248,0.0670326,0.10157972,-51.77636,51.77636,0.523047,-9.349303,-53.18248,-91.29809,0.61295545,-0.64319545,34.325207,52.612804,0.18920492,0.06774629,0.09202739,-51.746136,51.746136,1.0150551,-18.102987,-53.156567,-82.80669,0.003052384853363037,304.8989510536194,75000
53.118896,0.19414447,0.06307534,0.086814776,-52.294,52.294,0.71576935,0.75607646,-53.630146,-89.004005,1.0136287,-0.55402225,38.02184,52.749836,0.19056141,0.0607468,0.094365776,-51.951805,51.951805,1.0022761,-4.3510785,-53.306202,-86.676445,0.003061944818496704,320.2086796760559,80000
54.638058,0.17333606,0.062230576,0.08399037,-53.842415,53.842415,0.68732166,-8.072571,-55.14738,-82.1193,1.4149936,-1.4229971,47.45835,53.83453,0.16888666,0.059976436,0.08353193,-53.06588,53.06588,0.88433534,-12.345945,-54.322205,-85.826294,0.003076460123062134,335.5909860134125,85000
54.846992,0.14692993,0.06727363,0.0877428,-54.027325,54.027325,0.6446533,-12.011102,-55.464893,-84.05333,2.0107555,-0.8106016,42.48331,54.66858,0.16287088,0.06114253,0.08917171,-53.894283,53.894283,0.8680217,-10.591037,-55.209625,-87.45505,0.0030945801734924318,351.06389260292053,90000
54.182728,0.21631296,0.072121345,0.10515683,-53.2452,53.2452,0.8933921,-3.9009337,-54.727745,-93.19947,0.8922776,-0.81083673,42.67062,56.733578,0.1791122,0.07201488,0.10127449,-55.834316,55.834316,1.0043561,-15.188918,-57.379272,-86.21778,0.003094077730178833,366.5342881679535,95000
56.94418,0.15939997,0.06396427,0.088453725,-56.145138,56.145138,0.92523825,-7.147891,-57.5073,-97.27398,3.5951118,-2.2117403,95.18393,56.023125,0.18522547,0.06540423,0.09416448,-55.183857,55.183857,1.1891952,-11.028168,-56.54637,-89.449814,0.0031042276859283447,382.05543327331543,100000
50.475292,0.20471564,0.06646305,0.09088965,-49.605946,49.605946,1.2174901,-11.410095,-51.069614,-110.00482,3.866666,-2.4446445,98.45331,51.566013,0.15331218,0.071040764,0.0922228,-50.702293,50.702293,1.154923,-0.52833486,-52.24507,-88.76883,0.017821085834503175,471.16086745262146,105000
55.925117,0.15995416,0.06910959,0.0929795,-55.074066,55.074066,0.87788606,-9.230954,-56.554585,-85.615906,2.1662273,-1.6727376,64.99753,55.959587,0.13334827,0.064908326,0.08442235,-55.177155,55.177155,1.1629615,-12.161324,-56.51626,-87.042564,0.002806454038619995,485.19314408302307,110000
54.155594,0.19803463,0.067876466,0.0933842,-53.278793,53.278793,0.9061099,-12.133231,-54.800343,-92.43688,2.0422647,-2.0785162,71.472015,55.086433,0.20391265,0.07403614,0.103101924,-54.14216,54.14216,1.448762,-13.744704,-55.782204,-90.620186,0.002893222951889038,499.6592650413513,115000
53.657738,0.15869708,0.05490302,0.074740075,-52.950012,52.950012,0.59371626,-14.371068,-54.127407,-84.654236,2.162092,-1.5946785,63.998528,54.02843,0.15011656,0.052211035,0.07374843,-53.356205,53.356205,0.58782506,-11.011499,-54.46373,-80.88859,0.002999660396575928,514.657573223114,120000
53.79752,0.18732224,0.07708659,0.10648008,-52.839333,52.839333,0.70672554,1.3161101,-54.477352,-91.01688,0.64665645,-0.7978471,35.171627,53.43924,0.1828386,0.07761834,0.10156038,-52.480217,52.480217,0.92790115,1.1437464,-54.156456,-82.90783,0.0030512569904327393,529.9138634204865,125000
55.085518,0.17068748,0.056424398,0.07180919,-54.350586,54.350586,0.6276685,-14.783096,-55.466667,-89.65879,1.0070952,-0.6557709,35.91327,53.073296,0.1459076,0.055074938,0.0818007,-52.37664,52.37664,0.74383974,-9.08758,-53.528336,-80.228714,0.0030806886196136475,545.3173131942749,130000
54.07831,0.1423534,0.06777242,0.090331994,-53.258232,53.258232,0.94455665,-14.543741,-54.748306,-92.03758,2.629042,-1.6169873,72.35938,54.174282,0.19047637,0.0651508,0.08484979,-53.3323,53.3323,0.78537667,-12.975676,-54.791824,-88.52887,0.0031018922328948976,560.8267815113068,135000
53.747604,0.17445008,0.06168572,0.08727016,-52.9563,52.9563,0.65797895,-13.137045,-54.334175,-81.95416,1.9938459,-1.8716154,59.278378,53.66616,0.22680162,0.062186945,0.08456539,-52.81749,52.81749,0.9896773,-14.213869,-54.07896,-81.40458,0.0031192497730255127,576.4230358600616,140000
50.663063,0.15998386,0.069332734,0.08311211,-49.809753,49.809753,2.7629366,-14.550649,-51.225876,-88.86824,1.8798652,-1.3853394,64.922356,51.368595,0.16218251,0.060971916,0.07853807,-50.596695,50.596695,0.62121034,-16.735495,-51.902115,-77.60287,0.0031255228996276857,592.0506570339203,145000
51.632565,0.18042178,0.06928434,0.09450598,-50.7593,50.7593,0.810011,-2.622299,-52.234974,-84.47374,1.206072,-1.1087736,40.857132,50.937748,0.16670169,0.07124968,0.096917845,-50.058548,50.058548,1.1857289,-1.1220907,-51.582466,-81.54819,0.0031340906143188475,607.7211248874664,150000
53.31029,0.15690254,0.0637216,0.07995842,-52.516174,52.516174,0.828829,-14.525796,-53.85552,-80.23918,2.5201914,-1.2027019,59.53622,51.843315,0.15040056,0.066934094,0.08650386,-51.023575,51.023575,1.010962,-4.0640984,-52.49951,-78.29544,0.0031360475540161132,623.4013683795929,155000
52.278423,0.17287195,0.06673868,0.08751475,-51.438164,51.438164,0.84485364,-3.0810463,-52.78328,-84.65335,2.815826,-2.290424,58.23934,52.728218,0.19893253,0.064694546,0.08516576,-51.88234,51.88234,1.211408,-11.618674,-53.143906,-79.572624,0.0031443463802337647,639.1231060028076,160000
51.157757,0.16329359,0.06801389,0.09513415,-50.314323,50.314323,1.0879695,-10.336867,-51.76001,-95.73845,1.591287,-2.024298,61.620865,52.24476,0.17828284,0.067691885,0.098797575,-51.389557,51.389557,1.5511668,-10.934298,-52.840466,-78.64085,0.003146220016479492,654.8542108535767,165000
52.501934,0.16152172,0.06697367,0.089662366,-51.670677,51.670677,0.9919758,-11.699476,-53.12974,-91.176865,1.4982238,-1.4186527,58.649418,52.160763,0.17762616,0.06879311,0.0920177,-51.295204,51.295204,1.269435,-2.2555819,-52.71891,-84.25928,0.003143048334121704,670.5694575309753,170000
50.994736,0.1468782,0.07466551,0.09061857,-50.101204,50.101204,0.88286376,-13.081383,-51.622665,-87.8136,0.9401432,-0.98758876,35.700497,49.717148,0.22056079,0.064855136,0.088903554,-48.848034,48.848034,1.7321732,-14.478895,-50.163597,-85.363464,0.0031382303237915037,686.260614156723,175000
53.832596,0.1382619,0.060616195,0.08146637,-53.088173,53.088173,0.7672212,1.4996899,-54.35839,-97.23591,3.4602044,-3.210339,82.37982,54.744843,0.16659914,0.059951987,0.087442316,-53.978725,53.978725,0.9394192,-14.20074,-55.258198,-87.78469,0.003129373598098755,701.9074876308441,180000
49.548836,0.13841684,0.08030885,0.1000755,-48.60733,48.60733,0.813982,-7.7055397,-50.346992,-97.01272,1.5532997,-1.7332809,60.063324,50.610855,0.17499402,0.076779895,0.101783596,-49.66806,49.66806,1.4397157,-16.42087,-51.27874,-83.701385,0.003124318265914917,717.5290856361389,185000
49.050606,0.20961292,0.060391247,0.086590715,-48.23708,48.23708,0.7954755,-13.085135,-49.472843,-103.28095,2.6071115,-2.4886034,60.94203,50.658405,0.15757075,0.05816365,0.07614718,-49.919197,49.919197,0.86048365,-13.798297,-51.13404,-83.99635,0.003121838617324829,733.138284444809,190000
52.145287,0.132075,0.05423789,0.07665807,-51.470833,51.470833,0.6109054,-6.519807,-52.660156,-79.06809,2.5186436,-1.2718811,54.373337,52.64929,0.15281196,0.055658367,0.08344119,-51.93989,51.93989,1.2226682,-16.929665,-53.05255,-88.20189,0.003109934949874878,748.687965631485,195000
56.58964,0.18782763,0.07119415,0.09362278,-55.689873,55.689873,0.7519387,-10.282395,-57.25071,-87.15636,2.5855148,-1.9512006,69.51027,55.79386,0.16389516,0.06534179,0.08393142,-54.976547,54.976547,1.3834217,1.4093581,-56.36373,-96.13318,0.0031115387439727784,764.2456657886505,200000
54.70328,0.15205346,0.06605952,0.09154373,-53.890633,53.890633,0.8813739,-11.281242,-55.279938,-83.132545,2.156892,-3.4793425,88.6935,56.37565,0.16738306,0.06351232,0.09184047,-55.573143,55.573143,1.2778869,-24.55486,-56.91407,-97.51923,0.017786528778076172,853.1783163547516,205000
54.848995,0.17395394,0.067534074,0.10050421,-53.9997,53.9997,0.927835,-16.317177,-55.403652,-103.79256,2.832116,-2.0767145,62.611626,54.55127,0.162663,0.061773937,0.09059674,-53.770866,53.770866,1.3347557,-6.918152,-55.08535,-91.976814,0.002806338882446289,867.2100169658661,210000
53.421352,0.20540063,0.070397995,0.095930524,-52.51197,52.51197,1.1077733,-15.131093,-53.990726,-98.471954,5.1093335,-2.9402137,105.631424,52.180634,0.15604356,0.067430094,0.08308559,-51.35029,51.35029,1.7679245,-10.483135,-52.826653,-92.208855,0.0029242757797241213,881.8314027786255,215000
53.325455,0.14772545,0.070295624,0.09421438,-52.474773,52.474773,0.97453666,-14.803839,-53.912373,-87.01474,1.7767385,-2.7271292,63.356934,54.178886,0.23505913,0.066797785,0.10001136,-53.27585,53.27585,1.7647688,-14.784414,-54.585228,-99.02808,0.0030189027309417723,896.9259233474731,220000
56.719917,0.16154872,0.061224043,0.0769771,-55.94613,55.94613,0.61288625,-16.611311,-57.190414,-95.75209,3.038497,-1.520612,69.42152,54.872955,0.17826413,0.056033947,0.07862841,-54.134354,54.134354,1.1469697,-15.165289,-55.286987,-95.75875,0.003073037004470825,912.2911217212677,225000
56.285793,0.16378503,0.0674475,0.08648559,-55.447533,55.447533,0.82235134,-5.123938,-56.980595,-84.882545,4.361502,-2.138288,87.9479,54.370293,0.20456682,0.06286782,0.08338501,-53.53705,53.53705,1.5885967,-11.592443,-54.89239,-88.7875,0.0030984813690185546,927.7835347652435,230000
56.911793,0.18789423,0.065753,0.09294479,-56.06637,56.06637,0.8876144,-9.558092,-57.441994,-88.635925,2.9725628,-2.9706733,80.37245,58.335564,0.1503099,0.063479245,0.08422033,-57.55046,57.55046,1.4692185,-14.043104,-58.87951,-101.7245,0.003118236494064331,943.3747227191925,235000
