training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
24.594862,0.47908452,0.022570984,0.18503152,-23.890068,23.890068,0.5563038,-1.0770006,-23.90841,-25.966612,6.810969,-4.7478175,54.0605,24.581654,0.48275536,0.020588221,0.17330524,-23.893017,23.893017,0.27822405,-1.0017809,-23.90527,-26.055563,0.023748647022247313,118.74335622787476,5000
42.313793,0.43534517,0.021133456,0.16404942,-41.667114,41.667114,0.11895372,-0.676132,-41.71852,-45.109264,0.54930496,-0.96704066,17.971056,42.339073,0.51043004,0.018806051,0.18039507,-41.640583,41.640583,0.052798823,-0.7001469,-41.64554,-45.045467,0.004334071683883667,140.4137303829193,10000
55.104244,0.42554468,0.015816785,0.17476833,-54.52053,54.52053,0.19731313,-1.2561312,-54.555244,-57.41372,1.684094,-1.1456977,21.906807,54.019627,0.44204482,0.016195282,0.1570168,-53.41563,53.41563,0.24533513,-0.39355665,-53.464256,-57.439774,0.004199197769165039,161.40972900390625,15000
63.77929,0.3796038,0.016735401,0.15686196,-63.23233,63.23233,0.32247275,-1.4203554,-63.329857,-67.63339,0.8061774,-0.7564906,15.685845,63.41597,0.40352368,0.014871598,0.15763682,-62.86373,62.86373,0.14596832,-0.62737083,-62.95516,-67.63651,0.004094609832763672,181.88278675079346,20000
71.2085,0.36447567,0.01629879,0.12954555,-70.68104,70.68104,0.11345865,-0.23931716,-70.725204,-75.35346,0.6467682,-0.8009492,13.97761,71.51735,0.42438686,0.019142635,0.15447302,-70.901535,70.901535,0.09649276,-0.33615285,-70.9415,-75.412834,0.004118632316589355,202.47595930099487,25000
77.486336,0.43625036,0.016725637,0.13691407,-76.88283,76.88283,0.17752573,-0.10644427,-76.961136,-81.42644,0.54094523,-0.6140413,16.769888,78.05814,0.42317748,0.017259112,0.12824836,-77.46237,77.46237,0.096916735,-1.3288647,-77.53482,-81.47961,0.004083411502838135,222.89302515983582,30000
80.700905,0.40146732,0.01748796,0.12837076,-80.12456,80.12456,0.102254406,-0.5582718,-80.21867,-86.01584,0.7165796,-0.7152561,13.350119,79.540245,0.39980787,0.019312738,0.1368333,-78.94731,78.94731,0.293217,-0.36841613,-79.06145,-86.29869,0.004136371374130249,243.57489442825317,35000
83.913284,0.36690897,0.013679643,0.1278357,-83.40958,83.40958,0.09897413,-7.596657,-83.49321,-89.924995,0.51799583,-0.41614813,11.198823,84.03843,0.40696675,0.01738225,0.14460345,-83.45764,83.45764,0.21163005,-0.40080413,-83.531525,-89.76,0.004147285127639771,264.3113305568695,40000
86.86107,0.4049313,0.012541951,0.12562418,-86.33072,86.33072,0.1377278,-0.16535322,-86.39031,-92.6285,0.4274702,-0.4040602,9.531335,85.99856,0.41215155,0.016081264,0.14193515,-85.42559,85.42559,0.14348657,-0.43474996,-85.50448,-92.75782,0.004093055725097656,284.7766182422638,45000
88.73943,0.40773022,0.013697159,0.12899439,-88.19473,88.19473,0.08263126,-0.3508193,-88.26695,-94.88497,0.27275452,-0.2156582,8.260278,88.86096,0.40564713,0.016401753,0.13722368,-88.2913,88.2913,0.35945958,-24.415361,-88.35931,-94.8372,0.004140568399429321,305.479469537735,50000
89.29824,0.3397354,0.0149394255,0.11874442,-88.80911,88.80911,0.14000972,-0.05149594,-88.894165,-96.87851,0.6853882,-0.46794957,12.069674,89.47881,0.357699,0.018646406,0.11942656,-88.93465,88.93465,0.82123244,-1.526923,-89.05133,-96.51966,0.004095029354095459,325.95462703704834,55000
90.98363,0.3842951,0.016082395,0.13390504,-90.43851,90.43851,0.22507542,-0.3073458,-90.485306,-97.6538,1.1393813,-0.6866638,14.873497,90.94419,0.4169289,0.019018743,0.131401,-90.337074,90.337074,0.26450598,-2.0252724,-90.56504,-97.701324,0.004126791763305664,346.58859610557556,60000
92.15432,0.3905994,0.015264368,0.11056966,-91.61108,91.61108,0.10206992,-0.021973968,-91.695885,-99.655624,0.43191925,-0.44390482,11.393428,90.15643,0.4503649,0.01922502,0.12582146,-89.51382,89.51382,0.7918166,-0.07568291,-89.63504,-98.85165,0.00415741081237793,367.37566232681274,65000
92.063225,0.3276818,0.015387816,0.107891336,-91.581665,91.581665,0.1448656,-0.69420016,-91.69328,-99.98174,1.7222421,-1.1796145,18.966536,91.83392,0.36876175,0.0150846075,0.11158149,-91.314316,91.314316,1.3310857,0.040490568,-91.43721,-99.566475,0.0040831672191619876,387.7915074825287,70000
92.65372,0.3707223,0.0154070975,0.10345047,-92.12892,92.12892,0.12758166,-0.09410742,-92.18001,-100.733116,0.48864827,-0.33504298,10.378027,90.280556,0.40121943,0.017985722,0.118500754,-89.69948,89.69948,2.9252765,0.162228,-89.86509,-100.18729,0.004109937810897827,408.3412070274353,75000
93.95466,0.33688897,0.01495249,0.101298384,-93.46825,93.46825,0.09419984,-0.7445587,-93.5932,-102.40295,0.30089915,-0.2102427,9.66085,92.68619,0.40387952,0.015204903,0.11301015,-92.13026,92.13026,0.60782546,-0.35905436,-92.28074,-100.97979,0.004083083915710449,428.75663805007935,80000
92.96026,0.33355996,0.019471265,0.12227948,-92.431984,92.431984,0.107147455,-0.5696857,-92.54465,-102.92912,0.27147996,-0.7879891,10.727287,92.326004,0.37620896,0.015931634,0.11693923,-91.79048,91.79048,0.7431444,0.029711008,-91.86331,-101.02599,0.004108567523956299,449.2994873523712,85000
94.4921,0.337484,0.0120102605,0.11959771,-94.034515,94.034515,0.1259596,0.25869507,-94.12041,-101.628914,0.5953959,-1.2849269,13.81409,92.01805,0.40091473,0.017490268,0.11856946,-91.44223,91.44223,0.5251316,0.5293515,-91.59119,-102.41415,0.004096927213668823,469.7841339111328,90000
94.407486,0.37352785,0.013663071,0.12793727,-93.89733,93.89733,0.29170945,-0.72998416,-93.97796,-105.716736,1.1297821,-0.90339047,14.608736,93.38418,0.4144768,0.014980024,0.13090435,-92.8199,92.8199,0.9357917,-0.0007341057,-92.936676,-103.60841,0.004079950523376465,490.183899641037,95000
93.53908,0.34990373,0.014941071,0.11994073,-93.039764,93.039764,0.19678219,-0.10745053,-93.16056,-103.675514,0.47587183,-1.047855,15.78207,91.343414,0.35878173,0.019732483,0.11231053,-90.78731,90.78731,0.6652247,-0.01035808,-90.96576,-102.25202,0.004088777208328247,510.6277940273285,100000
94.42145,0.37847656,0.015068785,0.108110875,-93.89228,93.89228,0.1289806,0.41267496,-93.996704,-104.18305,0.6315042,-0.55224717,11.965086,92.53255,0.4022687,0.018465176,0.12238736,-91.945625,91.945625,2.259808,0.6544867,-92.085335,-104.89086,0.01955596098899841,608.407607793808,105000
94.65605,0.3995015,0.018330142,0.118081436,-94.07325,94.07325,0.15093407,-0.26915184,-94.2202,-104.89305,0.80963385,-0.5251372,13.834105,93.48144,0.3386865,0.019649059,0.11643216,-92.94626,92.94626,2.3139455,0.08590323,-93.11453,-102.68825,0.004095921850204467,628.8872292041779,110000
93.03495,0.36270475,0.014182288,0.10364623,-92.530426,92.530426,0.18073839,-2.089126,-92.63337,-104.4375,1.2035122,-1.171612,16.194923,93.839226,0.38120702,0.019003171,0.12179531,-93.26799,93.26799,1.6490908,0.1390605,-93.42879,-102.79641,0.004179667329788208,649.7855768203735,115000
91.28673,0.40668726,0.01584787,0.1127792,-90.721565,90.721565,0.26422048,-0.23902953,-90.834435,-107.40784,0.6405022,-0.8449963,16.379587,94.410255,0.37874526,0.016509872,0.098401934,-93.86641,93.86641,1.5912375,-0.21271203,-94.02655,-104.139565,0.004145200967788696,670.511590719223,120000
95.857994,0.3983827,0.015369649,0.12780407,-95.305916,95.305916,0.1253269,-5.4493213,-95.37109,-106.99013,0.42192394,-0.80820227,13.524461,93.50033,0.3739491,0.021959601,0.12774217,-92.906784,92.906784,1.5205431,0.1347284,-93.136765,-103.230064,0.004082532405853272,690.9242663383484,125000
93.23423,0.3628633,0.019391486,0.11094138,-92.67745,92.67745,0.19678013,-4.20616,-92.89177,-107.25814,1.6613175,-0.98268,16.259697,91.5963,0.33855298,0.017468307,0.11610749,-91.08306,91.08306,0.9855417,0.06073779,-91.21948,-102.843575,0.004128352689743042,711.5660519599915,130000
94.41605,0.35867053,0.015524707,0.105426386,-93.90214,93.90214,0.08995496,-15.593223,-93.98439,-106.89558,0.3641433,-0.41509116,9.411328,94.65008,0.41967857,0.023461955,0.10617926,-93.99578,93.99578,1.1239699,0.18687029,-94.25698,-102.87927,0.004086194515228271,731.9970331192017,135000
94.97612,0.36719942,0.015992336,0.09664275,-94.449,94.449,0.1444257,-0.4163321,-94.54791,-108.72545,0.91028434,-0.3704722,10.690111,92.234535,0.37781012,0.02204784,0.12531772,-91.636246,91.636246,1.1606061,-0.69383156,-91.876144,-104.02555,0.00416731948852539,752.8336386680603,140000
93.81826,0.36270508,0.014533086,0.11363974,-93.31023,93.31023,0.33270165,-1.5595477,-93.38689,-104.43321,0.77772236,-3.0885837,20.749397,93.12362,0.39383674,0.01775352,0.1073913,-92.552246,92.552246,0.9107045,-0.08147226,-92.721596,-104.46649,0.004103305196762085,773.3501727581024,145000
94.97237,0.34160548,0.015840035,0.10012598,-94.47236,94.47236,0.17923045,-28.632748,-94.563034,-106.13432,0.4684047,-0.6168423,10.203237,92.47829,0.3891871,0.019868847,0.12943463,-91.89041,91.89041,0.60295236,0.057327434,-92.161545,-102.74597,0.004085280895233154,793.776585817337,150000
95.2792,0.3505376,0.014649614,0.11652993,-94.782166,94.782166,0.16595092,0.46660215,-94.864716,-106.84579,0.79036915,-0.4810096,11.71518,91.51935,0.37483984,0.020263214,0.12104118,-90.94188,90.94188,1.887491,0.091628745,-91.29019,-102.51281,0.004189707517623901,814.7251334190369,155000
93.15869,0.35065034,0.015450939,0.118421525,-92.653534,92.653534,0.1740547,0.49316192,-92.75137,-106.69224,0.9764975,-0.44271255,12.249619,91.8984,0.36616662,0.016424485,0.10757268,-91.36799,91.36799,0.8814096,0.41761637,-91.49977,-102.61664,0.004135673189163208,835.4035305976868,160000
92.37832,0.37604266,0.015527729,0.10493001,-91.847,91.847,0.13438389,-3.420208,-91.9384,-103.704346,0.5733896,-0.4938709,12.540096,94.467926,0.36196515,0.021857072,0.10738926,-93.88739,93.88739,0.96589595,-11.332964,-94.04302,-103.26729,0.00410538125038147,855.9304482936859,165000
93.75993,0.33750102,0.015219289,0.096463405,-93.27024,93.27024,0.12747705,-0.28862065,-93.374405,-104.03337,0.3260854,-0.4936355,11.557064,92.097466,0.41987514,0.02113433,0.12545785,-91.46625,91.46625,0.59809285,-0.4329204,-91.62587,-103.17493,0.004096058320999145,876.4107480049133,170000
92.22949,0.3164771,0.01750014,0.107332945,-91.738014,91.738014,0.16290225,0.20862933,-91.831375,-107.14817,0.8511002,-1.1025957,13.632571,94.83836,0.38725337,0.019605624,0.106478825,-94.25505,94.25505,0.4541826,-10.306158,-94.32562,-102.791115,0.0040866393566131596,896.8439705371857,175000
94.54465,0.317025,0.016217723,0.103010535,-94.065445,94.065445,0.1374977,-0.0061082244,-94.14614,-106.96585,0.64658576,-0.46076664,10.616261,92.64261,0.42922962,0.019125063,0.13485874,-92.022125,92.022125,1.6815963,-1.492676,-92.33814,-103.26098,0.004087764358520508,917.2828047275543,180000
92.417694,0.3615945,0.016652549,0.10322091,-91.88957,91.88957,0.107283145,0.13459833,-91.97997,-102.89541,0.50991595,-0.56203234,12.403006,92.61296,0.40578413,0.024552386,0.11178108,-91.961655,91.961655,0.8402959,0.42154795,-92.21454,-102.47526,0.004088334894180298,937.7244896888733,185000
93.6934,0.34152028,0.0136879105,0.10408978,-93.215,93.215,0.11852903,0.36860904,-93.316574,-109.24572,0.74417305,-0.25221813,10.8117285,93.665504,0.3559312,0.017921936,0.1069173,-93.130356,93.130356,0.7302556,-3.2384753,-93.32971,-103.109924,0.00408306622505188,958.1398320198059,190000
93.02661,0.35227126,0.017087951,0.10503699,-92.50346,92.50346,0.14582554,-0.4117626,-92.66089,-106.259186,0.7424593,-0.41577435,12.817807,94.75021,0.4040069,0.016784113,0.11477835,-94.17837,94.17837,0.81236595,-0.24746992,-94.27947,-103.37897,0.004097588586807251,978.627783536911,195000
93.430565,0.36601782,0.01709795,0.093996644,-92.89357,92.89357,0.23981299,-0.03178616,-93.040535,-106.4465,0.46422502,-0.48092347,10.909157,94.75975,0.3799208,0.023230925,0.10676548,-94.14752,94.14752,0.41077334,-1.3138359,-94.247215,-103.822105,0.004088418865203857,999.0698907375336,200000
92.23184,0.34850034,0.018109463,0.101574995,-91.70225,91.70225,0.16239989,-0.12844342,-91.83924,-103.532814,0.42991477,-0.58610106,11.9705105,94.69268,0.37678707,0.019407472,0.12266646,-94.12182,94.12182,0.33374637,-23.080387,-94.22717,-104.12171,0.01957877058982849,1096.9637522697449,205000
93.49571,0.36123943,0.019737076,0.10816966,-92.9371,92.9371,0.113209486,0.40403455,-93.04778,-106.6644,0.6821251,-1.3971667,15.34271,92.777916,0.39890712,0.019082181,0.11044159,-92.18819,92.18819,0.2904411,-0.08249347,-92.28435,-103.04067,0.004141432428359985,1117.670928478241,210000
93.4356,0.30947688,0.01580568,0.09180693,-92.96806,92.96806,0.14376803,0.3679579,-93.09741,-106.07086,0.41580614,-0.5545505,12.281359,92.966125,0.42018288,0.026749283,0.10702518,-92.27845,92.27845,0.93788487,-0.41528863,-92.40198,-103.25077,0.004090021896362305,1138.12104845047,215000
95.432495,0.34419096,0.01327531,0.10144514,-94.95555,94.95555,0.13785309,0.16140898,-95.00606,-111.14736,0.71583205,-0.5590085,11.06182,95.94128,0.38364434,0.017987153,0.11920345,-95.37776,95.37776,0.16316545,0.18356526,-95.43758,-102.50066,0.004102963876724243,1158.6358761787415,220000
95.02438,0.32603773,0.015211378,0.10671318,-94.546234,94.546234,0.07654437,-27.115187,-94.64519,-109.1897,0.28186947,-0.23310244,8.742049,92.82101,0.37559354,0.018314753,0.10186577,-92.26227,92.26227,0.28614774,-1.7299469,-92.37638,-104.27491,0.004078256607055664,1179.0271697044373,225000
96.19129,0.31395155,0.013603893,0.095924184,-95.7413,95.7413,0.11165158,-26.227648,-95.81712,-103.52011,0.6988051,-1.5970086,13.951242,94.001396,0.39297545,0.024558399,0.12487479,-93.36284,93.36284,0.26208478,0.022245556,-93.44386,-103.37934,0.004083070659637451,1199.4425375461578,230000
